Sample,Subgroup,17:35076296-35282086,6:611289-618999,17:22315936-22324326,22:41307174-41912419,16:56463550-56765910,6:334423-600935,6:40747924-42826227,16:86985669-88124384,12:51241859-52425218,14:105602756-105630089,15:32523241-32594902,1:2643540-2645074,15:27009381-32443495,5:150148732-150201145,1:70553640-70787481,8:21490551-22657603,14:19268776-19330937,16:48783687-49225359,1:104018651-104671817,12:85450052-85962613,2:132067307-132196569,1:199087690-199111062,16:52471337-52719744,14:105857193-105881279,2:91494116-91569435,16:50733339-51847185,1:16757397-16794038,1:193480150-193527058,8:97639200-98703368,7:127699224-127876072,11:103640528-105452607,5:70716278-70721505,12:84542006-85443011,16:68710277-68751390,1:244627520-244676774,1:193556792-193630262,1:149591108-149598429,16:53780548-54336421,8:39870841-39957091,17:41011530-41041674,5:62457701-65999278,5:142831583-149027600,15:19860116-19886840,16:72933295-73012768,16:14956177-14988855,14:73071404-73092018,15:44193179-48393597,6:135204537-135259324,22:37683612-37705310,3:196947293-196962380,1:245054641-245071941,16:191307-2499608,20:31894758-31945175,17:77012812-77405218,1:158296040-158314837,13:20633975-20649522,18:57167311-61400117,1:149369522-149394958,1:141474904-141491470,1:244961779-244970723,6:32732764-32738443,5:104851801-108410768,23:3229-45135,16:9048939-13407657,4:70334625-70410860,11:109089452-114667900,16:4670009-9018298,17:10999-29169,8:36512939-36612488,5:154006451-157875296,17:29404250-29421633,17:20959898-21204422,16:30561643-31835555,15:22038880-22138119,20:45232779-46038929,5:68785515-68850823,16:69417987-69744010,9:42913008-43066618,14:73106558-73114128,6:29962849-30010234,8:2586264-3627077,12:37995224-38184617,15:19910867-20060061,3:196908262-196937230,8:184617-808139,11:5742476-5762182,1:141500919-141527782
Array.39,HR+,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,1,-1,-1,0,-1,-1,1,0,0,0,0,0,-1,1,1,1,-1,0,0,0,0,-1,-1,0,-1,0,0,-1,0,1,1,0,0,1,0,0,1,1,1,0,0,-1,1,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1
Array.86,HR+,-1,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,1,-1,-1,0,-1,-1,1,0,0,0,-1,1,0,0,-1,0,1,0,-1,0,0
Array.112,Triple Neg,-1,0,-1,1,0,0,1,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,1,0,1,0,-1,-1,0,-1,1,0,1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,1,0,0,1,1,0,-1,-1,0,1,1,-1,1,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,-1,1,1,-1,0,1,1,-1,0
Array.79,HER2+,2,0,-1,-1,-1,0,0,-1,0,0,-1,0,-1,1,0,-1,-1,-1,0,0,-1,1,-1,0,-1,-1,0,1,0,0,0,1,0,-1,0,1,1,-1,0,-1,1,1,1,-1,0,0,0,0,-1,0,0,1,0,-1,1,0,-1,1,0,0,0,1,-1,1,0,0,1,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,1,0,-1,0,0
Array.124,HR+,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,-1,0,0,1,1,1,0,0,1,1,0,0,1,2,1,-1,1,1,0,1,1,1,0,-1,1,0,0,1,1,0,-1,0,0,1,1,1,1,1,2,1,0,0,-1,1,1,0,0,1,1,1,-1,1,0,2,1,0,0,1,-1,1,0,1,1,0,1,-1,1,1,1,-1,0,1
Array.19,HER2+,2,0,-1,0,0,0,0,0,0,-1,0,1,0,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,-1,1,1,0,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1,0,-1,-1,0
Array.27,HR+,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,-1,0,-1,-1,0,0,-1,1,1,1,1,0,0,0,0,0,-1,1,1,0,0,-1,0,1,1,0,0,1,0,0,1,0,1,0,0,-1,1,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0
Array.110,HER2+,2,0,2,0,0,0,0,-1,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,1,0,0,-1,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,0,0,-1,0,1,-1,-1,-1,1
Array.69,Triple Neg,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,1,2,-1,0,2,-1,1,0,0,0,-1,0,-1,1,1,1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,0,0,1,1,0,1,1,0,-1,2,1,1,1,-1,1,1,0,0,1,-1,-1,-1,1,1,1,-1,0,-1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1
Array.73,HER2+,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,-1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,-1,0
Array.17,HER2+,2,0,1,0,0,0,0,-1,0,1,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,1,0,0,0,0,1,0,0,-1,0,-1,0,0,1,0,1,0,-1,-1,-1,-1,1,0,-1,1,0,0,-1,1,0,0,1,0,-1,1,0,-1,0,-1,0,1,0,0,1,-1,0,0,1,-1,1,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0
Array.33,HR+,-1,0,-1,-1,1,0,0,0,1,0,-1,0,1,0,-1,-1,0,1,-1,0,0,1,1,1,1,1,0,-1,0,2,-1,0,0,-1,1,1,1,1,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,1,0,-1,1,0,0,1,1,1,0,0,0,1,0,-1,1,-1,-1,0,-1,-1,1,0,2,0,0,0,1,1,-1,0,0,0,-1,1,1
Array.138,HER2+,2,1,1,0,0,1,1,0,1,0,-1,1,0,0,1,-1,-1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,-1,1,0,1,1,1,0,0,0,-1,0,-1,-1,1,-1,1,-1,0,0,1,1,1,-1,1,-1,-1,2,1,1,1,-1,0,1,1,0,1,-1,1,0,-1,-1,1,-1,1,-1,0,0,0,1,-1,1,-1,0,-1,0,1
Array.149,HR+,1,0,1,-1,-1,0,-1,-1,1,0,0,1,0,-1,-1,-1,-1,2,-1,0,0,1,0,0,0,2,0,1,2,0,-1,-1,0,-1,1,1,1,2,1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,1,1,1,0,0,-1,2,1,-1,-1,0,0,0,-1,0,1,1,-1,1,-1,0,0,1,-1,0,1,-1,-1,-1,1,0,1,-1,0,2
Array.90,Triple Neg,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,2,-1,-1,-1,-1,0,0,-1,-1,0,1,0,-1,0,0,0,1,1,1,0,0,-1,0,1,1,1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,1,2,0,0,0,1,-1,-1,-1,1,2,1,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,1,1,0,0,-1,-1,-1,1,-1,-1,1
Array.99,Triple Neg,0,0,0,0,1,0,0,1,0,-1,-1,1,0,-1,-1,0,-1,1,-1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,1,1,0,0,0,-1,1,1,-1,0,1,0,0,-1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,-1,0,1,0,1,0,0,0,1,-1,0,0,1
Array.105,HER2+,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,1,1,1,0,-1,0,0,0,1,0,-1,-1,0,0,-1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,-1,0,0
Array.85,HR+,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,1,0,1,1,0,-1,0,-1,0,0,0,-1,2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,1,0,0,0,1,-1,1,0,0,0,-1,0,1,0,0,1,-1,1,0,-1,0,1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0
Array.56,HR+,-1,0,-1,-1,-1,0,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,1,2,-1,0,-1,0,0,-1,-1,1,0,-1,-1,-1,1,1,1,0,0,1,-1,-1,-1,0,1,0,0,0,1,0,-1,1,-1,2,0,-1,-1,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,0,0
Array.5,Triple Neg,-1,-1,-1,0,0,0,1,1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,0,-1,-1,1,1,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,0,0,0,-1,-1,0
Array.8,HR+,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,-1,1,0,0,1,0,1,0,-1,0,0,0,0,2,0,-1,0,1,0,1,1,1,0,-1,0,0,0,-1,0,1,-1,-1,0,-1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,-1,-1,1,-1,-1,0,0,1,1,0,1,0,0,0,-1,0,0,0,-1,0,0,-1,0
Array.148,HER2+,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,-1,1,0,0,2,1,2,-1,1,0,0,0,-1,0,1,-1,2,0,-1,-1,-1,0,1,1,1,0,2,0,0,0,0,-1,-1,-1,-1,1,-1,1,0
Array.25,Triple Neg,1,-1,0,1,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,0,1,0,0,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,1,-1,0,0,1,0,0,-1,-1,0,0,0,0,-1,-1,-1,1,0,0,-1,0,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,1
Array.102,Triple Neg,0,-1,0,0,0,-1,1,0,0,-1,-1,2,-1,-1,-1,0,-1,0,0,0,0,1,0,-1,0,0,-1,-1,2,0,0,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,0,-1,-1,1,1,0,1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,-1,1,0,0,0,1,0,0,1
Array.55,HER2+,2,0,-1,-1,0,0,-1,0,0,-1,0,1,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,2,-1,0,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,2,0,-1,-1,-1,0,-1,0,-1,0,1,-1,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,-1,0,0,-1,1,-1,0,2,-1,-1,1,0
Array.152,HER2+,2,0,-1,0,0,0,0,-1,0,1,-1,0,-1,-1,0,-1,1,-1,0,1,0,0,1,1,0,1,0,0,1,0,-1,-1,1,-1,0,0,0,1,1,-1,-1,-1,1,-1,1,0,-1,1,-1,0,0,1,0,-1,0,-1,-1,0,0,0,0,-1,0,1,0,-1,1,-1,2,-1,-1,-1,1,-1,0,-1,-1,1,0,0,-1,0,-1,0,-1,-1,0
Array.50,Triple Neg,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,-1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,2,1,0,0,-1,0,1,1,1,-1,0,1,-1,1,-1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,-1,1,1,1,1,-1,0,1,2,-1,0,1
Array.68,HER2+,2,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,2,0,0,-1,0,1,0,-1,0,-1
Array.153,Triple Neg,-1,0,-1,0,-1,0,1,1,-1,-1,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,1,0,0,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,1,1,1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,1,-1,1,-1,0,-1,-1,1
Array.37,HR+,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0
Array.78,HER2+,2,0,-1,-1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,1,1,1,0,-1,-1,-1,0,1,0,-1,-1,0,0,-1,0,1,0,0,1,0,0,0,1,0,1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,1,-1,0,0,-1,1,-1,0,1,0,-1,0,0
Array.75,HER2+,2,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,1,1,-1,-1,0,-1,0,0,1,0,-1,-1,-1,-1,1,-1,0,-1,1,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,1,-1,0,1,-1,-1,-1,0
Array.2,HR+,1,-1,-1,-1,0,-1,-1,-1,0,-1,1,0,0,1,-1,-1,-1,0,-1,0,-1,1,0,0,-1,0,1,1,1,0,-1,0,0,-1,1,1,1,0,-1,0,-1,1,-1,0,0,1,-1,-1,0,1,1,0,1,-1,1,-1,-1,-1,0,1,-1,0,-1,0,-1,-1,0,-1,0,1,0,-1,1,1,1,-1,0,-1,0,-1,-1,1,-1,1,-1,-1,0
Array.60,HR+,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,1,1,1,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0
Array.38,Triple Neg,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0
Array.72,HER2+,2,0,1,0,0,0,0,0,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,-1,-1,0,1
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Array.137,HR+,0,0,0,-1,-1,0,0,-1,0,-1,0,1,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,1,1,0,0,-1,0,0,-1,1,1,1,0,0,0,0,0,1,-1,0,-1,0,0,-1,0,1,0,0,0,1,-1,0,1,1,1,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1
Array.135,Triple Neg,0,1,0,1,0,1,1,0,0,0,-1,0,0,0,1,1,0,0,1,0,0,1,0,-1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1
Array.111,Triple Neg,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,-1,-1,1,1,0,1,1,1,-1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,-1,0,0,0,-1,1,1,1,1,0,1,1,0,0,1,2,1,0,1,1,0,1,1,0,-1,0,0,0,0,0,1,0,1,1,1,1,-1,0,0,1,-1,-1,1
Array.7,HR+,-1,0,-1,-1,0,0,0,0,0,1,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1,0,0,-1,-1,1,1,-1,0,-1,0,1,0,0,0,-1,0,1,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,1,1,1,0,-1,0,0,-1,-1,0,0,-1,1,-1,-1,0,0,0,0,2,0,0,-1,-1,0,-1,0,-1,0,1
Array.21,HER2+,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,-1,-1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,-1,1,0,1,1,-1,0,0,0,0,-1,1,0,0,0,1,0,1,0,0,2,1,0,1,2,0,1,1,0,1,1,0,0,1,0,-1,0,1,1,1,1,0,-1,0,1,0,1,-1,1,0,0,-1,-1,0
Array.59,HR+,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,1,0,-1,0,-1,-1,0,-1,-1,0,0,0,2,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,1,0,1,-1,0,0,0,-1,-1,0,0,2,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,0
Array.71,Triple Neg,0,0,0,1,0,0,2,0,-1,-1,0,1,0,-1,0,-1,-1,0,0,0,0,1,0,-1,0,0,0,1,1,1,-1,-1,0,-1,1,1,1,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,1,-1,0,0,0,0,-1,-1,1,1,1,0,-1,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,1,0,-1,-1,-1,0,0,1,-1,-1,1
Array.47,Triple Neg,0,-1,-1,1,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,1,-1,0,0,0,0,-1,-1,0,-1,0,-1,1,0,-1,-1,0,0,1,0,0,-1,0,0,-1,-1,1,-1,0,-1,0,0,1,1,1,0,0,1,0,0,-1,-1,0,1,0,-1,1,0,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,1,0,-1,0
Array.107,Triple Neg,-1,1,-1,-1,0,1,1,-1,0,-1,0,0,-1,-1,0,-1,1,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,1,1,1,0,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,1,1,0,0,0,1,0,1,2,0,1,1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,1,-1,0,0,1,-1,-1,1
Array.89,HR+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,1
Array.30,Triple Neg,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,-1,0,-1,0,0,1,-1,1,1,0,1,0,1,0,0,-1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,-1,1,0,0,1
Array.35,HR+,0,0,0,-1,-1,0,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0,0,1,0,0,1,0,0,0,-1,0,0,1,1,0,0,0,0,1,-1,1,0,1,-1,-1,1,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,-1,1,0,1,0,0,1,1,0,-1,0
