Sample,Subgroup,19:3363749-3971503,3:193425674-193467200,22:41293579-41298170,6:80170446-80661257,17:35076296-35282086,2:131945577-132042781,16:68838368-68874167,2:87287735-87839798,21:13461550-13635227,22:41307174-41912419,16:67314736-68371045,12:85986743-87258350,1:1676445-1703748,12:74728500-75387573,8:36512939-36612488,1:37599215-38399540,1:3521345-3798798,12:64727853-66012212,8:35694285-35751327,1:74137824-74816963,20:59844907-60188644,18:2427324-2694258,8:35875555-36133992,19:10213505-10628317,1:149579637-149582884,1:199087690-199111062,8:63810-90816,20:15036230-15158545,16:86985669-88124384,6:89106148-90015649,19:15632023-16680896,1:193480150-193527058,6:165690639-165715368,21:9896630-10198129,1:104018651-104671817,8:37636761-37737912,18:18979399-19204173,1:12833868-13002452,5:70716278-70721505,1:145820605-146012014,7:38212614-38223575,6:32634044-32660090,3:4109224-4214897,4:69215734-69311985,6:19049822-20716660,23:1702016-1706462,3:196908262-196937230,11:59180249-59841891,6:40747924-42826227,18:28288419-29558913,6:2851182-4639919,16:21448093-21501073,6:32766023-32821094,1:142116690-142435868,5:54350373-55141379,20:771302-1487457,12:70574871-71644041,12:9528590-9585156,5:104851801-108410768,16:68606309-68648091,16:191307-2499608,22:22695759-22714749,6:110490286-110621141,22:23930054-23946476,11:55200744-55207305,22:41221190-41290227,8:35453083-35676140,1:16757397-16794038,16:41636-151666,8:105857203-107203129,11:55124730-55194990,5:154006451-157875296,16:72933295-73012768,15:20393586-20773131,20:39688990-40052114,16:68710277-68751390,1:146473741-146512434,12:59087176-60039028,16:33433058-33486907,6:12512986-14535258,4:190887518-191025356,8:101808084-102428770,16:54354643-54379834,19:232836-236846,16:31958973-32105104,6:22060377-24236375,14:21464924-21511829,3:24543616-25463517,15:44193179-48393597,15:32605086-32654561,14:19268776-19330937,4:110841462-119681984,11:95737778-98627006,22:22725750-22731544,16:30561643-31835555,23:3229-45135,5:60285997-62401952,20:61795796-62379059,3:193476462-196656506,8:8148437-11897919,1:245308564-245433846,8:145962567-146264846,8:98721543-100441109,15:39578565-39587716,8:35005401-35166837,8:166452-181530,9:42913008-43066618,14:105857193-105881279,8:51970684-53247541,8:7040596-7261418
Array.6,HER2+,0,0,0,-1,2,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,0,1,0,1,0,0,0,0,0,-1,1,1,0,0,1,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,1,1,-1,0,0,0,1,1,0,0,0,0,-1,0,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1
Array.39,HR+,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,1,-1,0,0,-1,0,0,0,0,1,1,0,0,-1,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,-1,0,0,-1,0,0,-1,1,0,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Array.112,Triple Neg,0,1,1,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,-1,-1,0,-1,1,0,1,0,0,1,1,0,-1,0,0,1,-1,0,0,0,-1,-1,-1,1,0,1,0,1,-1,-1,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,1,-1,0,0,1,1,1,1,-1,0,1,0,-1,0,1
Array.79,HER2+,0,0,-1,0,2,-1,-1,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,1,1,-1,0,-1,-1,0,1,0,0,0,-1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,1,0,0,1,1,-1,1,0,1,1,0,-1,-1,0,1,0,-1,1,-1,-1,0,-1,-1,0,-1,0,0,0,-1,1,-1,0,0,-1,0,-1,-1,0,0,0,-1,-1,1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1
Array.124,HR+,0,-1,0,0,0,1,1,1,0,0,1,1,0,1,2,1,0,1,-1,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,-1,-1,0,1,1,1,-1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,-1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,2,-1,2,1,0,1,1,0,0,0,1,-1,0,1,1,0,1,1,-1,1,0,2,0,-1,-1,1,1,1,0
Array.19,HER2+,0,0,0,0,2,0,1,0,0,0,1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,-1,-1,0,-1,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,1,1,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,-1,1,1,1,0,-1,-1,0,0,0,-1
Array.27,HR+,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,1,-1,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,1,0,1,0,0,0,-1,0,1,0,1,0,0,0,0,-1,-1,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Array.69,Triple Neg,-1,0,-1,-1,1,0,-1,0,0,-1,2,0,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,0,1,2,-1,-1,-1,1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,1,-1,1,-1,0,0,-1,-1,-1,1,0,-1,0,0,-1,-1,-1,1,0,0,-1,-1,-1,0,-1,1,0,1,-1,0,0,-1,0,1,-1,-1,0,-1,-1,-1,0,0,0,1,1,-1,0,0,-1,1,2,2,-1,-1,-1,-1,-1,2,0
Array.73,HER2+,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,1,0,0,-1,0,0,0,-1
Array.95,HR+,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,-1,0,0,1,0,0,1,0,1,0,1,1,1,1,2,1,0,1,-1,0,0,1,0,0,0,1,0,-1,1,0,1,1,-1,1,1,1,0,0,0,-1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
Array.98,HR+,1,1,-1,-1,0,0,-1,0,0,-1,-1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,2,1,-1,0,1,-1,0,1,1,1,0,1,-1,1,1,1,0,1,0,0,0,0,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Array.33,HR+,0,0,-1,1,-1,0,0,1,-1,-1,1,0,0,0,-1,-1,-1,2,-1,-1,-1,0,-1,0,1,1,-1,-1,0,1,0,-1,0,-1,-1,-1,0,-1,0,0,1,0,0,-1,0,0,0,-1,0,0,0,1,0,1,0,-1,1,0,0,1,1,-1,0,-1,-1,-1,-1,0,1,1,-1,0,0,0,2,-1,0,1,1,0,0,1,-1,-1,1,0,1,0,1,-1,0,1,-1,-1,1,0,0,1,0,-1,0,1,0,1,-1,-1,0,1,0,-1
Array.138,HER2+,0,0,0,-1,2,0,0,0,0,0,0,1,-1,1,1,2,-1,1,0,1,-1,-1,-1,0,1,1,-1,1,0,-1,0,1,-1,0,1,1,-1,-1,-1,1,0,1,0,-1,1,0,0,0,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,0,0,0,0,0,1,0,-1,0,-1,0,1,0,1,1,0,1,-1,0,-1,0,1,1,0,0,1,1,-1,-1,0,0,1,0,-1,-1,0,-1,1,2,0,1,-1,-1,0,0,0,0
Array.101,HR+,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,2,1,1,-1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,1,0,1,1,2,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,-1,1,1,2,1,0,1,1,0,0,0,1,1,1,2,1,0,1,0,0,1,0,0,1,2,0,1
Array.90,Triple Neg,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,0,0,0,-1,1,0,0,-1,-1,-1,-1,0,1,-1,0,0,-1,0,1,1,0,0,-1,-1,-1,1,1,0,0,0,1,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,0,0,-1,0,0,1,-1,-1,0,0,1,0,-1,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,1,0,-1,2,1,1,-1,-1,-1,1,-1,1,0
Array.57,Triple Neg,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,-1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-1,0,0,-1,0,1,1,1,1,-1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,1,-1,0,0,0,0,1,0,1,-1,-1,-1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,0,0,0
Array.105,HER2+,0,0,0,0,2,0,0,0,1,0,0,0,0,0,-1,0,-1,0,-1,0,1,0,-1,0,1,0,0,0,0,0,1,1,1,0,-1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,0,-1,1,0,0,0,-1,-1,1,0,1,-1
Array.85,HR+,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,0,1,0,0,0,1,1,0,0,0,-1,0,0,0,-1,-1,1,-1,-1,0,-1,0,-1,1,1,1,-1,0,-1,-1,0,-1,0,0,0,1,0,1,-1,-1,0,0,-1,0,0,-1,-1,0,0,0,1,0,-1,0,0,-1,0,1,1,-1,-1,-1,0,-1,1,-1
Array.114,Triple Neg,0,1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,1,0,0,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,1,0,-1,0,0,-1,0,0,0,0,1,0,-1,0,-1,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,1,-1,1,0,0,-1,-1,-1,0,-1,0,-1
Array.56,HR+,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,2,-1,-1,0,1,-1,0,-1,1,-1,2,-1,-1,1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,0,1,0,0,1,-1,0,0,1,0,0,-1,0,1,0,0,0,1,0,1,0,-1,1,-1,-1,-1,0,-1,1,-1,1,0,-1,0,-1,-1,0,-1,1,0,1,0,-1,0,-1,-1,1,0,0,0,-1,-1,-1,0,0,-1,1,0,0,0,1,-1,1,0,0,-1,1,-1,0,-1,0,-1
Array.5,Triple Neg,-1,0,0,-1,-1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,1,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,1,0,0,0,1,0,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,0,0,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,0,-1
Array.141,HR+,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,-1,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0
Array.43,HR+,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,2,0,0,0,2,0,0,0,2,0,1,0,-1,0,-1,-1,0,-1,-1,0,0,2,0,0,0,0,0,-1,0,1,-1,0,0,0,-1,0,-1,1,-1,0,0,0,0,-1,0,-1,1,-1,-1,0,0,0,-1,0,1,2,-1,0,-1,0,0,-1,0,0,1,-1,1,2,-1,-1,1,-1,1,0,0,0,0,1,0,-1,1,-1,0,0,0,-1,-1,1,2,0,-1,-1,0,-1,2,-1
Array.159,Triple Neg,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,-1,-1,-1,0,0,1,-1,0,1,0,0,-1,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,-1,0,1,1,-1,0,0,1,0,0,0,1,0,-1,-1,1,-1,0,-1,1,-1,1,0,0,-1,0,-1,2,0,-1,0,0,0,0,1,-1,0,0,-1,2,0,-1,0,1,1,-1,0,0,-1,-1,-1,1,0,0,-1,0,-1,-1,1,1,2,-1,-1,0,1,-1,0,0
Array.88,Triple Neg,-1,0,0,-1,1,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,1,-1,0,-1,0,-1,0,1,0,1,0,-1,-1,0,0,0,-1,1,-1,1,1,0,-1,-1,1,-1,0,0,0,-1,1,0,0,0,-1,1,-1,0,-1,0,0,-1,0,0,-1,0,0,1,0,1,-1,-1,0,-1,1,0,1,1,0,1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,0,0,0,1,-1,0,0,-1,0,1,1,-1,0,0,-1,-1,0,-1
Array.125,HER2+,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Array.50,Triple Neg,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,-1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,1,0,1,1,1,1,-1,1,0,2,0,1,0,-1,1,1,0,1,0,0,0,2,0,1,1,1,1,1,1,0,1,1,0,2,1,0,1,1,0,0,0,0,-1,1,0,1,1,1,-1,1,1,0,1,1,1,0,0,-1,1,1,1,0
Array.23,HR+,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,-1,1,0,-1,0,1,-1,0,0,-1,1,0,-1,1,-1,1,0,1,0,0,0,0,0,1,0,1,0,1,-1,1,1,1,-1,0,1,1,-1,0,0,0,0,0,1,1,-1,-1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-1,0,0,0,1,0,-1,1,0,-1,1,1,1,0,0,-1,1,-1,1,-1
Array.68,HER2+,0,0,0,0,2,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,1,2,0,-1,-1,2,0,0,-1
Array.153,Triple Neg,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,1,-1,-1,1,0,-1,0,1,0,0,0,-1,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,1,0,0,0,1,0,1,1,1,1,-1,-1,-1,2,-1,-1,0,-1,-1,0,1,0,-1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,1,1,1,-1,-1,-1,0,0,0,0,1,0,-1,0,0,-1,1,2,1,-1,-1,-1,0,-1,1,-1
Array.51,HER2+,0,0,1,1,2,-1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,-1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,-1,1,1,1,1,0,1,1,2,-1,0,0,1,1,0,1,0,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,-1,1,2,2,1,0,-1,1,-1,2,-1
Array.37,HR+,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
Array.78,HER2+,0,0,-1,0,2,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,0,1,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,1,-1,0,0,0,1,0,1,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,0,-1,1,1,1,0,-1,-1,0,0,1,0
Array.75,HER2+,1,0,0,0,2,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,1,-1,0,0,0,0,0,-1,0,-1,0,0,1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,-1,1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,1,1,0,-1,-1,0,-1,0,0
Array.139,HER2+,0,0,0,0,2,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,1,1,0,0,-1,0,0,1,0,0,0,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,-1,0,-1,0,1,0,-1,0,-1,0,0,-1,1,0,1,0,0,1,-1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,1,1,0,-1,-1,0,0,1,-1
Array.2,HR+,0,1,-1,-1,1,-1,1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,1,-1,1,-1,-1,0,1,-1,-1,-1,0,-1,0,0,1,0,-1,0,0,-1,0,1,0,-1,-1,-1,-1,-1,0,0,1,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,1,0,1,0,1,1,-1,1,1,0,-1,-1,1,-1,0,1,-1,0,0,-1,0,-1,-1,-1,-1,1,-1,-1,1,1,-1,0,0,1,-1,1,-1,-1,0,0,-1
