Sample,Subgroup,1:149591108-149598429,22:28922568-30224848,15:27009381-32443495,6:18550170-19001738,12:70462057-70560603,16:69391442-69397102,9:43948886-45739077,17:35076296-35282086,12:63574243-64694907,11:7803570-10028138,16:67314736-68371045,22:22725750-22731544,10:135142920-135266354,4:70442343-70445716,5:71077546-89933522,19:56816785-56859204,22:32984614-33685030,3:88671596-89473678,4:162205286-162321148,17:55188840-55219333,14:106216726-106349756,6:19049822-20716660,17:38035466-38070950,1:85022-216735,15:39590440-39979013,23:1672003-1687507,8:8117271-8132139,19:59406523-59440274,16:29560500-29582349,2:39284752-41599090,22:15270151-15403609,5:150148732-150201145,11:58566389-58626432,6:611289-618999,11:78005966-78127149,6:75632175-75961320,4:102672728-104401802,8:38599339-38743232,11:19570565-20098137,10:117210751-120581888,8:37028146-37290782,1:149579637-149582884,6:32605300-32629848,17:77653668-77696106,17:10999-29169,17:41577520-41644979,1:149369522-149394958,16:29063624-29528190,11:69703427-69736816,21:39030818-39918819,1:193480150-193527058,16:47717059-48773160,1:23469376-25318800,17:41062669-41447005,5:62457701-65999278,8:36512939-36612488,6:32718991-32728487,17:43389085-43525899,3:46761824-46823673,14:21420105-21448635,3:87336579-87661897,23:282116-343473,9:138275716-138301699,6:63057692-64614816,16:30561643-31835555,6:1292057-1353261,3:75479859-75535753,9:153131-194193,11:55124730-55194990,17:77442683-77478901
Array.39,HR+,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,-1,0
Array.124,HR+,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,-1,0,0,0,1,0,1,0,-1,-1,1,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,1,1,0,0,-1,1,2
Array.19,HER2+,1,0,0,0,0,1,0,2,2,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,1,-1,0,-1,-1,1,0,0,0,1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0
Array.106,HER2+,1,0,0,1,1,-1,1,2,1,0,-1,0,-1,0,-1,1,0,1,0,0,0,1,-1,0,0,1,-1,1,1,0,0,-1,0,1,0,0,0,-1,0,-1,-1,1,1,-1,-1,-1,0,1,0,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0
Array.110,HER2+,1,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,2,-1,0,-1,-1,1,0,1,0,1,0,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Array.69,Triple Neg,1,0,-1,-1,0,1,-1,1,0,0,2,0,0,0,-1,0,0,0,0,1,0,-1,1,0,-1,0,0,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0,2,1,-1,1,-1,1,2,1,0,0,1,2,-1,1,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,0,-1,0,1
Array.95,HR+,1,0,1,0,1,0,1,0,1,1,0,0,0,-1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,-1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,-1,0
Array.17,HER2+,1,0,-1,0,0,0,0,2,0,0,-1,0,0,0,-1,0,0,-1,0,1,1,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0,1,1,-1,0,-1,0,1,1,0,1,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0
Array.33,HR+,1,-1,1,0,1,0,0,-1,2,1,1,-1,-1,0,0,1,-1,0,1,0,1,0,0,0,1,0,-1,1,1,1,0,0,-1,0,0,1,1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,0,-1,0,-1,0,-1,0,1,0,0,0,1,1,0,0,1,-1,1
Array.138,HER2+,1,0,0,1,1,0,0,2,1,0,0,0,0,1,-1,1,0,0,-1,-1,0,1,-1,0,1,0,0,1,1,0,0,0,0,1,0,1,-1,0,0,0,1,1,-1,-1,-1,-1,2,1,0,1,1,0,-1,-1,-1,1,1,-1,0,0,0,0,1,1,1,1,0,0,-1,-1
Array.149,HR+,1,-1,0,0,0,-1,0,1,1,0,-1,-1,-1,0,-1,0,-1,0,-1,1,0,-1,1,0,0,0,0,0,0,-1,0,-1,-1,0,2,-1,0,1,0,-1,1,1,-1,1,1,0,-1,0,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,-1,-1,1
Array.101,HR+,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,-1,0,0,-1,0,1,0,0,1,0,1,0,1,0,1,0,1,2,2,1,1,1,1,1,1,1,0,1
Array.90,Triple Neg,1,-1,-1,0,0,0,0,-1,0,-1,0,-1,2,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,1,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,0,-1,1,-1,0,-1,-1,-1,0,0,0,1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0
Array.105,HER2+,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,1,0,-1,1,0,0,1,1,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1
Array.114,Triple Neg,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,2,0,1,0,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,1
Array.56,HR+,2,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,0,2,0,0,-1,-1,-1,0,-1,-1,1,-1,-1,0,0,0,0,0,0,2,0,0,2,2,0,1,-1,-1,-1,1,0,0,1,-1,-1,-1,0,2,0,0,-1,0,-1,0,0,0,1,0,-1,-1,-1,1
Array.5,Triple Neg,0,1,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,1,0,-1,0,-1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,1,-1,1,-1,0,0,0,1,-1,-1,1,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,0,1,0,0,-1,1
Array.113,Triple Neg,-1,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,1,-1,1,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,1,0,1,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,1
Array.148,HER2+,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,-1,0,-1,-1,-1,0,1,-1,0,0,0,1,0,0,0,0,0,1,1,0,0,-1,1,1,0,-1,0,-1,1,-1,-1,0,0,1,-1,0,0,-1,-1,0,-1,-1,2,-1,1,-1,0,0,0,1,0,-1,-1,-1,1
Array.42,HER2+,1,-1,0,1,0,1,0,2,0,0,1,-1,0,0,0,-1,-1,0,0,2,0,2,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,1,0,-1,1,0,-1,1,-1,0,0,-1,1,0,0,1,1,1,-1,-1,0,-1,0,0,0,1,0,1,1,1,0,0,0,-1,-1,0
Array.25,Triple Neg,1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,0,1,0,-1,0,-1,-1,0,1,0,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,0,0,0,-1,0,0,0,1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0
Array.102,Triple Neg,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,1,-1,1,0,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,0,0,2
Array.55,HER2+,1,0,0,0,0,0,0,2,0,1,0,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,1,0,-1,-1,0,0,1,0,-1,1,0,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,-1,0,0,-1
Array.141,HR+,1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0
Array.43,HR+,1,0,0,-1,0,-1,0,0,0,0,-1,-1,1,1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,0,-1,1,2,0,0,2,1,-1,0,0,-1,-1,1,0,0,-1,-1,0,0,0,2,-1,0,0,1,0,0,0,-1,1,-1,0,0,-1,0
Array.159,Triple Neg,1,1,0,1,-1,0,0,-1,-1,-1,0,1,-1,0,-1,0,0,0,-1,2,0,1,-1,0,-1,1,-1,0,0,0,0,-1,0,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,-1,0,-1
Array.52,HR+,1,0,0,0,0,-1,-1,-1,1,0,-1,0,-1,0,0,0,0,0,0,2,-1,0,-1,0,-1,0,-1,0,1,0,0,0,-1,0,-1,-1,0,1,0,0,-1,1,-1,1,-1,-1,0,1,0,0,1,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,1,0,0,-1,1,1
Array.125,HER2+,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Array.152,HER2+,0,0,-1,0,1,-1,1,2,1,-1,-1,0,0,0,-1,0,0,-1,0,0,1,0,-1,0,-1,0,-1,0,1,0,0,-1,1,0,-1,-1,0,0,-1,0,2,0,0,-1,-1,-1,0,1,-1,0,0,-1,0,-1,-1,2,0,-1,-1,1,-1,0,0,0,1,0,-1,1,-1,-1
Array.50,Triple Neg,2,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,2,0,1,0,-1,1,1,0,1,1,1,0,0,-1,0,-1,0,0,0,1,1,1,1,1,1,0,1,0,1
Array.23,HR+,1,0,0,0,1,0,0,1,1,-1,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,-1,0,0,0,-1,-1,-1,1,-1,1,1,1,-1,-1,1,2,1,1,1,1,0,0,1,-1,0,1,1,0,1,0,0,0,-1,1,0,0,0,-1,1
Array.68,HER2+,0,0,0,0,0,-1,1,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,-1,-1,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,1
Array.94,HR+,1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,1,0,1,-1,0,0,0,-1,0,1,-1,0,0,-1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2
Array.153,Triple Neg,1,0,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,1,-1,1,-1,-1,-1,0,0,0,1,1,0,-1,0,0,0,0,-1,-1,0,-1,-1,1,-1,1,0,-1,0,1,0,1,0,1,-1,-1,-1,-1,1,-1,0,1,2,0,1,1,1,0,-1,-1,-1,1
Array.51,HER2+,1,1,1,1,0,0,0,2,0,0,0,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,0,-1,2,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,-1,-1,1
Array.142,HR+,1,-1,0,1,1,1,1,1,1,0,1,-1,0,0,1,-1,-1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,1,-1,1,-1,0,2,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,-1,0,1
Array.144,HER2+,1,0,1,2,0,0,1,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,1,1,-1,0,-1,-1,-1,0,0,0,1,0,0,-1,0,1,0,-1,0,0,0,0,1,0,0,-1,0,0,-1,0
Array.37,HR+,1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0
Array.18,HER2+,1,0,-1,0,0,0,0,2,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,1,0,0,-1,-1,2,1,0,0,1,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,-1,-1,-1,-1,0
Array.82,HR+,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,-1,1,-1,-1,-1,1,1,-1,1,0,0,-1,0,0,-1,-1,0,1,0,0,0,0,1,0,0,0,1,1
Array.60,HR+,1,0,0,0,0,-1,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,-1,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0
Array.38,Triple Neg,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,2,0,-1,2,0,-1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1
Array.72,HER2+,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1,0,1,0,0,1,1,-1,0,0,-1,1,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
Array.111,Triple Neg,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,-1,1,1,0,0,-1,0,0,0,1,1,1,1,0,0,-1,2,0,1,1,1,1,0,1,0,1,0,1,1,0
Array.7,HR+,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,0,1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,-1,1,0,1,-1,-1,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0
Array.53,HER2+,0,2,-1,-1,0,-1,0,2,0,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0
Array.47,Triple Neg,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,0,1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,1,-1,0,0,1
Array.107,Triple Neg,1,-1,-1,1,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,1,1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,1,1,0,-1,-1,2,0,-1,0,1,0,0,0,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,0,-1,0
Array.64,Triple Neg,1,0,-1,1,-1,0,0,0,-1,-1,0,1,-1,0,-1,0,0,0,0,0,-1,1,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,1,-1,2,0,-1,1,1,-1,0,0,-1,1,0,0,1,1,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0
Array.89,HR+,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,2,1,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0
Array.35,HR+,1,-1,1,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0
Array.93,Triple Neg,1,1,0,1,0,0,1,0,0,0,0,1,0,-1,0,1,1,0,0,0,0,1,0,0,0,1,-1,0,0,1,0,0,1,1,0,1,0,-1,2,1,-1,2,-1,2,0,-1,-1,0,0,1,1,0,-1,0,0,-1,1,0,-1,1,0,1,0,1,0,1,-1,2,0,0
Array.134,HR+,1,-1,0,1,1,-1,0,1,1,1,-1,-1,-1,0,0,0,-1,1,0,1,0,1,1,-1,0,0,-1,0,1,0,0,0,0,1,0,-1,0,0,1,-1,0,1,0,1,1,0,-1,1,0,1,1,-1,-1,1,0,0,1,1,1,0,1,0,-1,1,1,0,1,-1,0,1
