Sample,Subgroup,3:16617887-16778176,6:334423-600935,17:35076296-35282086,6:18550170-19001738,9:136812271-138270560,14:35347136-36478421,1:72080289-72473289,12:63574243-64694907,16:69417987-69744010,1:16551324-16592466,12:85986743-87258350,11:76374332-76586638,4:102672728-104401802,16:67314736-68371045,15:53166-592121,14:105654998-105693581,17:61247968-61578637,6:32586131-32600962,3:19936335-24520200,1:193480150-193527058,14:19505698-19515781,5:150148732-150201145,6:45107837-47047807,12:74674175-74721164,11:68740184-68819585,20:194755-763411,15:55258039-57620619,8:144953439-145949490,1:158296040-158314837,2:132210961-132323628,14:30209271-30636982,12:9528590-9585156,6:102825672-106012872,6:63057692-64614816,12:70462057-70560603,11:74773664-74787471,1:38432360-38569674,17:35486136-35544912,3:4109224-4214897,1:16954838-16997273,11:65669021-65808620,11:3327942-5733442,14:19535787-19582682,11:7803570-10028138,15:18835660-18884436,1:17030134-17037487,6:146738-154410,17:42161364-42296514,14:80562041-83928319,6:40747924-42826227,16:29560500-29582349,21:30286344-31727064,11:80263397-80790766,5:71077546-89933522,20:39688990-40052114,10:87744912-88215734,14:21420105-21448635,16:69391442-69397102,6:32766023-32821094,3:75870144-75896020,17:7522884-8559106,16:30561643-31835555,17:41062669-41447005,15:51919876-55250930,1:149579637-149582884,14:68154581-71881814,16:191307-2499608,19:59406523-59440274,8:166452-181530,5:49988952-50268244,15:57627602-58554678,8:127952070-128717669,15:18722595-18790589,10:2654619-3125483,6:19049822-20716660,1:149369522-149394958,6:170856656-170943103,8:55862289-56770315,15:32523241-32594902,1:72489681-72620747,22:37683612-37705310,1:141474904-141491470,19:232836-236846,17:44860354-45025420,16:14956177-14988855,9:42913008-43066618,15:44193179-48393597,16:28508726-28529942,6:122354776-122673457,17:37055494-37151062,14:105602756-105630089,8:42333867-42484474,8:74108126-74822651,6:92035339-94502615,15:39590440-39979013,17:8567837-9872633,6:5839-85465,1:239391358-239517083
Array.110,HER2+,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,-1,2,0,0,0,-1,0,-1,2,1,0,0,1,-1,2,0,0,-1,1,1,-1,0,0,0,0,-1,2,-1,0,2,0,0,-1,-1,1
Array.69,Triple Neg,0,-1,1,-1,-1,-1,-1,0,1,-1,0,0,0,2,0,1,1,-1,0,1,-1,-1,-1,0,0,-1,-1,2,1,0,-1,-1,-1,-1,0,0,1,1,0,-1,0,0,-1,0,0,-1,-1,1,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,-1,1,1,-1,1,-1,1,0,-1,1,-1,0,0,0,-1,2,-1,2,-1,-1,0,1,0,1,1,-1,-1,1,-1,1,-1,-1,2,-1,-1,-1,-1,0
Array.95,HR+,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,2,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,-1,0,0,0,0,1,-1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
Array.17,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,-1,-1,0,0,0,0,-1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,-1,0,0,-1,0,0,0,-1,1,0,-1,1,0,1,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,-1,1,2,0,1,1,1,0,-1,-1,0,-1
Array.33,HR+,0,0,-1,0,0,1,-1,2,0,0,0,0,1,1,0,1,0,-1,0,-1,0,0,0,0,1,-1,1,1,1,0,1,0,0,1,1,0,-1,-1,0,0,1,1,0,1,0,0,0,-1,0,0,1,-1,0,0,2,0,1,0,0,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,0,0,1,0,0,-1,-1,-1,1,-1,0,0,0,1,1,0,0,0,-1,0,0,1,-1,0,1
Array.138,HER2+,0,1,2,1,0,0,1,1,0,0,1,0,-1,0,0,0,-1,-1,0,1,0,0,1,1,0,1,1,2,1,0,0,1,-1,1,1,0,2,0,0,0,0,0,0,0,0,-1,1,-1,0,1,1,1,0,-1,1,0,0,0,1,0,-1,1,-1,1,1,0,1,1,-1,-1,1,0,0,0,1,2,-1,0,-1,1,0,1,0,1,1,0,1,1,-1,-1,0,-1,0,-1,1,-1,0,1
Array.149,HR+,0,0,1,0,0,1,-1,1,0,0,0,0,0,-1,0,0,1,-1,0,1,0,-1,0,0,2,0,0,2,1,0,1,1,-1,0,0,0,-1,1,0,0,0,0,1,0,0,-1,0,1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,0,-1,0,1,0,1,-1,0,0,-1,-1,0,2,0,0,-1,-1,-1,1,0,-1,-1,2,0,1,-1,1,0,0,-1,1,0,1,2,-1,0,-1,0,1
Array.99,Triple Neg,-1,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,0,1,-1,1,0,-1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,1,-1,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,1
Array.57,Triple Neg,1,1,0,1,1,0,2,0,1,-1,0,0,-1,0,-1,0,0,-1,1,1,0,0,1,0,0,0,-1,0,1,0,0,1,1,1,0,0,2,0,1,-1,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,-1,0,1,-1,1,0,-1,-1,-1,1,0,0,-1,0,-1,0,1,0,-1,0,0,1,-1,0,1,1
Array.85,HR+,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,-1,1,-1,0,0,-1,1,1,-1,-1,0,1,0,0,0,1,0,1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,0,-1,-1,0,0
Array.114,Triple Neg,-1,0,-1,0,0,0,-1,0,0,-1,0,1,-1,0,-1,0,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,1,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,1,0,-1,0,-1,0,1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,-1,0,-1,0,-1,-1,-1,-1,1
Array.56,HR+,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,1,-1,0,0,0,-1,-1,1,-1,0,0,0,0,-1,-1,0,-1,0,0,1,-1,0,0,0,0,0,-1,0,-1,-1,1,-1,-1,2,0,1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,0,1,0,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,1
Array.5,Triple Neg,-1,0,-1,1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,-1,1,-1,1,-1,-1,-1,0,-1,-1,0,-1,1,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,0,-1,1,-1,-1,0,-1,1,-1,1,0,0,1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,0
Array.8,HR+,0,0,0,0,0,2,0,0,0,0,1,-1,1,0,0,1,2,-1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,-1,1,0,-1,1,-1,1,0,0,0,0,2,0,0,0,1,0,1,0,1,-1,0,-1,0,1,0,-1,1,0,0,-1,2,2,-1,-1,-1,0,0
Array.113,Triple Neg,0,-1,0,-1,0,-1,-1,0,0,-1,0,1,0,0,-1,-1,0,-1,0,-1,-1,0,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,0,1,-1,0,0,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.42,HER2+,0,0,2,1,1,1,-1,0,1,1,0,-1,0,1,0,0,0,-1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,-1,-1,-1,0,1,0,1,1,0,0,-1,0,-1,0,0,0,1,-1,0,0,0,1,1,0,-1,-1,0,-1,0,1,1,0,0,-1,0,0,2,0,1,2,1,1,2,-1,-1,-1,0,-1,0,-1,0,0,0,1,-1,0,1,2,1,0,-1,0,1
Array.25,Triple Neg,-1,-1,1,0,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,-1,1,1,-1,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,1,0,1,-1,1,0,0,-1,-1,0,-1,1,-1,-1,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,1,-1,0,1,0,-1,1,0,-1
Array.102,Triple Neg,-1,-1,0,1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,-1,-1,-1,1,-1,1,-1,0,-1,0,2,1,0,1,-1,-1,1,0,0,0,0,0,-1,0,0,1,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,-1,0,-1,0,0,0,2,0,0,1,-1,1,0,-1,-1,-1,1,-1,0,-1,1,-1,0,1,0,-1,0,1,-1,-1,-1,-1,1
Array.55,HER2+,-1,0,2,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,2,0,0,-1,0,-1,-1,0,1,1,-1,-1,0,1,1,-1,1,2,0,0,1,-1,-1,0,0,1,-1,1,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,0,-1,-1,-1,2,1,1,0,-1,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,-1,2,-1,0,-1,0,-1
Array.141,HR+,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,2,0,2,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
Array.43,HR+,0,-1,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,1,0,-1,0,0,-1,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,1,-1,-1,0,0,1,0,0,1,0,1,0,-1,0,0,2,0,0,-1,-1,-1,2,0,0,-1,0,-1,0,0,0,0,1,-1,0,-1,2,2,-1,0,0,-1,0
Array.159,Triple Neg,-1,0,-1,1,0,0,0,-1,0,0,-1,1,-1,0,0,0,2,-1,-1,0,0,-1,0,-1,0,-1,0,1,1,0,-1,1,-1,0,-1,1,1,-1,-1,0,0,-1,0,-1,0,-1,-1,1,0,0,0,0,-1,-1,0,-1,1,0,0,0,-1,0,-1,0,1,0,-1,0,0,0,0,1,0,-1,1,-1,-1,0,0,0,0,0,-1,1,-1,1,0,0,-1,-1,0,0,1,0,-1,0,-1,1
Array.52,HR+,0,0,-1,0,0,0,-1,1,0,0,0,-1,0,-1,0,-1,1,-1,0,1,1,0,0,0,-1,0,-1,1,1,1,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,1,0,0,0,-1,-1,-1,0,1,-1,-1,0,0,0,0,-1,0,0,-1,1,-1,-1,1,-1,0,0,-1,0,-1,1,0,0,0,0,-1,1,0,-1,-1,0,-1,0,-1,-1,-1,1,-1,0,-1,1,1,-1,-1,-1,-1,0
Array.125,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.152,HER2+,0,0,2,0,0,1,0,1,-1,0,1,1,0,-1,0,1,-1,0,0,0,1,-1,0,1,1,0,-1,1,0,0,1,1,1,0,1,-1,0,-1,0,0,1,-1,1,-1,1,0,0,-1,0,0,1,0,-1,-1,0,0,1,-1,0,-1,-1,1,-1,-1,0,0,1,0,-1,0,0,1,1,1,0,0,1,1,-1,-1,-1,0,0,0,1,1,-1,1,1,-1,1,1,1,1,-1,-1,0,0
Array.23,HR+,0,0,1,0,0,1,0,1,1,0,1,0,-1,0,0,0,1,1,0,1,1,-1,0,1,0,1,0,1,1,0,1,1,-1,-1,1,0,0,1,0,0,1,-1,1,-1,1,0,0,1,-1,0,1,1,0,-1,1,-1,1,0,0,0,-1,1,1,0,1,0,1,0,-1,-1,0,1,0,1,0,2,-1,1,0,0,0,1,1,1,1,1,0,1,-1,1,0,2,1,-1,0,-1,-1,1
Array.68,HER2+,0,0,2,0,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,1,0,-1,0,-1,0,0,0,2,0,0,0,0,0,-1,1,0,0,-1,0,0
Array.94,HR+,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,-1,0,1,0,0,0,1,2,2,0,0,1,0,0,2,-1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,2,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0
Array.153,Triple Neg,-1,0,-1,1,1,1,0,-1,1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,1,-1,1,-1,0,-1,-1,2,0,0,1,2,-1,1,-1,0,1,-1,-1,0,0,-1,1,-1,-1,0,0,-1,-1,1,1,1,0,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,0,0,-1,-1,-1,1,-1,1,1,0,-1,0,-1,0,0,1,0,1,-1,0,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,1
Array.51,HER2+,1,1,2,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,2,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,2,-1,0,1,2,1,0,1,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,2,1,1,0,1,1
Array.142,HR+,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,-1,1,1,0,1,1,1,0,1,0,0,1,0,0,-1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,-1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,2,-1,0,0,0,-1,0,0,1,0,1,0,1,0,1,-1,0,0,0,0,-1,0,1
Array.144,HER2+,0,-1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,0,0,-1,0,0,0,0,0,1,-1,0,1,1,0,0,1,-1,-1,0,1,0,1,0,-1,-1,-1,1,0,0,-1,0,1
Array.18,HER2+,-1,-1,2,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,1,0,-1,1,-1,0,0,0,2,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,0,0,-1,0,0,0,0,0,-1,-1,1,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,0,0,2,-1,-1,0,1,0,1,-1,0,1,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,1
Array.75,HER2+,-1,0,2,0,-1,1,0,0,0,0,1,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,1,0,1,1,1,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,1,0,0,-1,-1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,0,-1,1,1,-1,0,0,-1,0,1,1,1,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,0,-1,-1,-1,1,0,1,-1,0,-1
Array.139,HER2+,0,0,2,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,-1,-1,-1,1,0,0,-1,0,1
