Sample,Subgroup,3:193476462-196656506,5:150148732-150201145,6:6356121-7863271,20:194755-763411,16:68838368-68874167,12:31173065-31257959,6:40747924-42826227,3:80959005-82751614,16:67314736-68371045,17:35076296-35282086,5:70422297-70698794,3:130220686-130840184,4:119819380-119910398,16:69417987-69744010,1:149579637-149582884,5:763494-786455,5:54350373-55141379,17:1542118-1560766,11:80263397-80790766,12:70462057-70560603,16:68710277-68751390,1:38432360-38569674,15:18722595-18790589,12:9528590-9585156,17:23604362-23631712,23:1672003-1687507,14:96926587-98114562,3:75914406-75957900,23:153466463-153491568,14:105654998-105693581,11:101380957-101972052,23:3229-45135,23:152422390-152548587,14:105602756-105630089,16:191307-2499608,16:68606309-68648091,9:42913008-43066618,3:196908262-196937230,1:46445058-47002412,16:72933295-73012768,18:14120810-14602888,1:199087690-199111062,1:193480150-193527058,18:14723811-14968075,9:110086022-110100386,16:69391442-69397102,1:2574555-2580342,8:42123757-42175380,16:47717059-48773160,1:16799163-16836986,8:35694285-35751327,5:873416-878290,4:846154-890807,1:245054641-245071941,8:63810-90816,17:77442683-77478901,1:2870100-2880675,11:15925810-16521314,1:149369522-149394958,17:77503378-77503685,1:70848676-70955685,23:152994680-153054487,1:141500919-141527782,6:252939-284743,6:32605300-32629848,6:32718991-32728487,14:18149473-18537177,1:21483025-21545437,8:64430407-65154750,5:140203440-140221835,1:72489681-72620747,1:1738295-2477597,22:37683612-37705310,1:69374719-70163952,14:34765550-35332809,1:57359130-58257959,4:70334625-70410860,1:239391358-239517083,16:49237703-50174920,22:41307174-41912419,17:20618474-20721661,5:150224239-152555267,7:21242540-23314039,18:2427324-2694258,15:32605086-32654561,23:108169857-122414714,22:34837434-35584245,1:146581869-146634734,9:40361684-40520747,14:73106558-73114128,7:141214728-141245219,20:17587221-18440839,16:45058242-45218686,3:75870144-75896020,22:37717564-37801946,5:17406393-17549618,14:37489099-37598648,19:57641139-57681491,10:4952746-6573717,11:70562838-70610269
Array.106,HER2+,0,-1,1,1,-1,1,1,1,-1,2,0,1,0,0,1,1,1,-1,0,1,-1,-1,0,1,-1,1,0,1,2,0,0,1,2,0,1,0,0,0,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,0,0,1,0,0,1,0,2,1,0,1,1,0,-1,2,-1,0,-1,0,0,2,0,0,1,-1,0,-1,-1,1,-1,0,1,0,1,0,0,0,1,-1,1,0,1,0,1,1,0
Array.110,HER2+,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,-1,0,0,-1,0,1,1,2,0,0,0,2,0,0,1,2,-1,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,-1,1,-1,0,1,0,1,0,0,2,1,0,-1,0,0,0,2,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0
Array.69,Triple Neg,0,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,0,1,1,0,-1,0,0,0,-1,1,0,-1,1,0,-1,0,1,1,0,1,1,-1,1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,0,-1,2,-1,-1,0,0,1,-1,1,-1,0,2,0,-1,1,1,1,-1,1,-1,-1,2,-1,-1,0,0,-1,-1,-1,0,0,2,-1,1,-1,0,-1,-1,1,0,1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0
Array.73,HER2+,0,0,0,0,0,0,0,0,0,2,-1,1,0,0,1,0,0,-1,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Array.95,HR+,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,-1,0,0,2,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,-1,1,1,1,0,0,1,-1,0,0,0,1,0,-1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,-1,1
Array.98,HR+,1,1,1,1,-1,1,1,1,-1,0,1,1,0,1,1,1,1,0,-1,1,-1,0,0,1,0,0,0,1,1,0,-1,1,1,0,1,-1,1,1,0,-1,1,1,1,1,-1,-1,0,1,-1,0,1,1,0,1,1,0,2,0,-1,0,0,1,1,1,-1,1,0,0,1,1,0,0,-1,0,0,0,0,1,-1,-1,0,1,0,1,0,1,-1,1,1,0,0,1,-1,1,-1,1,0,1,0,0
Array.17,HER2+,0,-1,0,0,-1,0,0,-1,-1,2,-1,0,0,0,1,0,-1,-1,0,0,-1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,-1,0,0,0,-1,0,-1,0,-1,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,1,-1,0,1,0,0,0,0,0,-1,0,0,-1,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Array.138,HER2+,0,0,1,1,0,0,1,0,0,2,-1,0,-1,0,1,0,-1,-1,0,1,0,2,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,-1,-1,1,1,-1,0,0,-1,-1,0,0,0,0,-1,1,-1,-1,1,0,2,-1,1,1,1,1,-1,1,0,-1,0,0,1,-1,0,1,0,1,1,1,0,0,-1,0,0,-1,1,2,0,1,0,0,0,1,0,0,0,-1,0,1,0,0
Array.149,HR+,0,-1,-1,0,-1,1,-1,0,-1,1,-1,0,0,0,1,1,-1,-1,-1,0,-1,-1,0,1,1,0,-1,0,1,0,-1,0,1,0,0,-1,1,1,-1,-1,0,1,1,0,0,-1,-1,2,-1,0,-1,1,1,-1,-1,1,1,0,-1,1,-1,1,2,0,-1,-1,0,1,2,-1,-1,-1,-1,-1,1,-1,0,1,1,-1,-1,-1,0,0,0,1,-1,1,0,-1,-1,0,1,0,-1,1,1,0,0,-1
Array.101,HR+,1,1,1,1,0,1,0,2,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,2,0,1,2,0,1,2,0,1,1,2,1,0,1,0,0,0,1,1,1,0,-1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,-1,1,1,1,0,1,-1,1,0,0,2,0,0,1,0,0,0,1,2,0,1,1,0,1,1,2,1,1,0,0,0,1,2,1,1,0
Array.90,Triple Neg,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,1,1,-1,0,2,0,0,0,-1,0,1,-1,1,0,0,2,0,0,1,2,0,0,0,1,1,-1,0,-1,1,1,-1,0,0,-1,-1,0,0,-1,0,0,2,-1,0,2,-1,-1,0,-1,2,1,-1,-1,0,0,-1,1,0,-1,-1,-1,-1,0,-1,0,1,0,-1,0,0,-1,-1,-1,2,-1,1,0,0,-1,0,0,0,-1,0,0,-1,0,0
Array.99,Triple Neg,-1,-1,0,-1,1,0,0,-1,1,0,0,-1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,2,-1,1,1,0,-1,-1,0,0,0,1,0,0,1,0,0,1,0,0,-1,0,1,0,2,1,0,-1,2,-1,2,1,1,1,0,0,0,0,0,-1,0,0,-1,0,1,0,1,1,0,0,0,0,0,-1,2,-1,1,0,1,0,-1,1,-1,0,0,0,0,0,0
Array.57,Triple Neg,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,-1,2,-1,1,0,0,0,0,1,0,0,1,1,-1,0,0,0,1,2,0,0,1,1,0,-1,0,-1,0,0,-1,0,-1,-1,1,0,0,2,0,-1,0,2,1,1,-1,1,-1,0,-1,0,0,-1,-1,-1,2,0,2,-1,1,0,0,0,0,1,0,-1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Array.105,HER2+,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,-1,0,0,1,0,1,1,0,1,1,0,1,0,0,-1,0,0,-1,1,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
Array.85,HR+,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,1,-1,0,1,-1,0,0,1,-1,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,2,1,1,0,0,0,0,-1,1,0,0,1,1,0,1,0,0,-1,0,-1,0,1,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,-1,1,0,1,0,0,-1,-1,1,0,0
Array.114,Triple Neg,1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,-1,1,0,-1,-1,0,-1,2,0,-1,-1,1,0,1,0,0,1,-1,0,0,1,1,0,0,0,-1,-1,0,0,-1,0,-1,-1,0,1,-1,0,0,1,-1,1,0,1,-1,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,1,0,-1,-1,0,0,-1,-1,2,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1
Array.56,HR+,1,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,2,0,0,-1,0,0,-1,-1,-1,1,-1,0,0,-1,1,0,0,0,1,0,1,-1,0,1,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,1,0,-1,1,-1,1,1,0,-1,1,-1,1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,0,0,-1,-1,1,-1,1,-1,0,-1,0,-1,-1,-1,0,0,-1,0,0
Array.8,HR+,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,-1,0,1,1,-1,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,-1,2,0,0,-1,0,0,1,0,1,1,0,1,1,0,1,0,1,-1,0,1,0,2,0,1,-1,-1,0,2,0,-1,0,0,0,-1,0,0,0,-1,1,0,1,0,-1,-1,1,2,0,0,1,1,0,0,0
Array.42,HER2+,0,0,0,1,1,1,0,0,1,2,0,0,0,1,1,1,0,0,-1,0,1,-1,0,1,1,0,0,-1,2,0,-1,1,2,0,0,1,0,0,-1,1,1,0,1,1,0,1,0,1,1,1,-1,1,1,1,-1,0,1,1,1,0,-1,2,0,0,-1,0,0,0,2,0,-1,0,-1,1,1,-1,0,1,1,-1,0,0,-1,1,0,2,-1,0,0,0,-1,1,1,-1,-1,1,1,0,1,-1
Array.102,Triple Neg,1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,1,0,0,1,1,-1,0,0,1,1,0,-1,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,2,2,0,-1,2,-1,1,1,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,0,0,1,0,0,-1,-1,1,-1,-1,1,0,1,0,-1,-1,0,0,0,0,0,1,-1,0,0
Array.55,HER2+,0,-1,0,1,0,0,-1,-1,0,2,-1,0,0,0,1,1,-1,-1,1,0,0,1,1,0,-1,-1,-1,-1,1,0,0,1,1,-1,0,0,0,-1,1,0,0,-1,-1,0,-1,0,1,-1,0,0,-1,1,0,-1,0,-1,1,1,-1,-1,-1,0,0,0,-1,-1,0,1,2,-1,0,1,-1,-1,-1,2,0,-1,1,-1,0,-1,1,-1,0,1,-1,0,0,-1,-1,1,0,-1,-1,1,-1,0,1,1
Array.43,HR+,0,0,-1,0,-1,0,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,-1,1,-1,1,-1,0,0,0,-1,0,0,-1,0,0,-1,0,2,-1,0,2,1,-1,0,-1,0,0,0,-1,0,0,1,0,0,-1,-1,0,0,2,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Array.52,HR+,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,0,0,0,1,0,-1,0,1,-1,-1,1,1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,0,1,-1,0,-1,1,0,1,-1,1,1,0,0,1,-1,1,0,-1,-1,-1,1,0,1,0,-1,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,1,0,1,-1,-1,0,0,-1,0,0,1,1,0,0,0
Array.88,Triple Neg,0,-1,1,1,0,-1,0,-1,0,1,-1,-1,-1,0,0,0,-1,0,1,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,0,1,2,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,-1,-1,2,0,0,-1,0,0,-1,1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1,2,-1,-1,1,0,1,-1,-1,-1,1,0,-1,0,1,0,0,1,0
Array.125,HER2+,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.94,HR+,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,0,0,2,0,0,0,0,1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,2,0,1,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,1
Array.51,HER2+,0,0,1,1,0,1,1,1,0,2,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,-1,0,1,0,2,1,1,-1,1,1,0,0,1,1,0,1,1,1,1,1,0,2,0,1,0,1,1,0,1,1,1,0,1,0,0,2,0,1,0,1,1,1,1,0,1,0,1,1,1,1,2,1,1
Array.37,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,-1,1,1,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,1,-1,0,1,0,0,0,0,-1,-1,0,0,0,0,0
Array.18,HER2+,0,0,0,0,0,0,0,1,0,2,-1,0,0,0,1,1,-1,-1,0,0,0,2,0,1,0,0,0,-1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,-1,-1,0,-1,-1,1,1,1,-1,0,1,-1,2,0,0,1,1,-1,0,0,-1,-1,-1,0,1,-1,0,0,-1,1,0,1,0,0,-1,0,0,0,-1,1,0,1,0,0,-1,1,0,-1,0,1,-1,0,0,0
Array.117,HR+,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,1,1,0,0,-1,0,1,0,0,0,1,-1,0,-1,1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,1,-1,0,0,-1,0,0,0,0,1,0,0
Array.60,HR+,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,0,1,-1,0,-1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,-1,0,-1,0,0,0,0,0,0,1
Array.72,HER2+,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,1,-1,-1,1,0,1,-1,0,1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.137,HR+,0,0,0,0,-1,0,0,-1,-1,0,1,-1,0,0,1,1,0,-1,0,0,-1,0,1,1,0,0,-1,-1,1,-1,-1,0,1,-1,0,-1,0,0,0,-1,0,0,1,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,-1,0,1,0,0,0,0,0,-1,0,1,0,-1,1,0,-1,-1,0,0,0,0,1,2,1,0,-1,-1,0,0,-1,-1,0,-1,0,0,0
Array.145,Triple Neg,1,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,1,-1,-1,1,0,-1,0,1,0,1,0,-1,-1,-1,1,0,-1,-1,1,0,0,-1,1,1,1,0,-1,1,1,-1,0,-1,-1,1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,0,-1,1,1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,0,-1,0,0,-1,1,-1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,1,-1
Array.31,Triple Neg,1,0,1,1,1,1,1,0,1,0,0,0,1,1,2,2,0,0,2,0,2,1,1,1,0,1,0,0,2,0,2,1,2,0,0,1,1,1,1,1,1,-1,0,1,1,1,1,2,2,1,2,2,0,1,0,1,1,0,0,1,1,2,1,1,1,1,1,1,2,0,-1,1,-1,1,0,1,1,1,2,1,0,0,1,1,-1,2,1,1,1,0,1,0,2,0,1,2,0,1,1,1
Array.135,Triple Neg,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,-1,0,1,0,0,2,0,0,0,2,0,0,0,1,0,1,0,1,1,1,1,-1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,2,1,1,1,1,0,0,1,0,-1,0,0,1,1,1,0,1,0,1,0,0,1,1,-1,2,0,1,1,0,1,0,0,0,0,1,0,0,1,1
Array.111,Triple Neg,1,0,1,1,1,2,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,2,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,-1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,2,1,0,1,0,-1,1,-1,0,0,-1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
Array.7,HR+,0,1,0,0,0,0,0,0,0,-1,0,1,-1,2,0,0,-1,0,-1,0,0,0,-1,0,0,-1,1,0,1,1,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,-1,0,-1,-1,0,0,1,0,1,-1,0,1,1,0,0,0,-1,0,1,-1,0,0,-1,0,0,0,-1,0,0,-1,-1,1,0,0,0,1,-1,1,0,0,-1,0,0,0,-1,0,0,-1,0,0
