Sample,Subgroup,20:194755-763411,2:56853626-57106587,12:51241859-52425218,17:35076296-35282086,1:2643540-2645074,2:229700351-231853847,11:118115430-118362161,22:24876788-26191987,12:97852156-98629015,1:17030134-17037487,16:82128902-83298645,5:68785515-68850823,18:17278237-18565403,22:24263116-24866694,5:763494-786455,8:37028146-37290782,16:50733339-51847185,1:149579637-149582884,18:36996895-42435594,12:9528590-9585156,9:110114139-110140372,11:73803134-74080304,6:252939-284743,22:27829159-28903600,6:35344147-37360148,1:193480150-193527058,3:4109224-4214897,8:35694285-35751327,7:21242540-23314039,17:41011530-41041674,12:84542006-85443011,18:18594203-18968555,2:98472519-101487776,1:10551320-12533269,1:16954838-16997273,4:69215734-69311985,16:68838368-68874167,15:18722595-18790589,11:62264206-62741497,8:42123757-42175380,15:41676219-44156737,5:58484078-60277014,2:61025070-61061211,16:72933295-73012768,10:42150759-42175348,1:38432360-38569674,1:244693374-244865778,13:45269295-47682284,1:2927-43870,1:144975464-145023947,17:60634938-61232593,22:26999547-27819338,8:43143792-43155815,1:199087690-199111062,16:67314736-68371045,8:35875555-36133992,16:68606309-68648091,18:121700-128568,6:137982450-139107896,17:57670026-57838106,3:196908262-196937230,21:14334542-14480152,4:166559793-171072076,3:39066-342654,3:89488409-89516057,14:105082760-105322191,6:32766023-32821094,18:19733211-22259536,6:98260964-101072587,17:44860354-45025420,11:73550091-73719108,1:146473741-146512434,15:44193179-48393597,16:14956177-14988855,20:35800429-36053431,12:85450052-85962613,6:110490286-110621141,18:51767179-55758094,14:19350230-19397709,20:61795796-62379059,23:3229-45135,5:57805582-58473974,22:37683612-37705310,14:68154581-71881814,16:30561643-31835555,8:39356595-39363050,16:41636-151666,5:62457701-65999278,6:112208462-113294566,14:73071404-73092018,17:52115865-52175252,14:73106558-73114128,14:19402284-19490630,16:68710277-68751390,18:4316-75432,9:21698371-22292223,17:11469879-12854787,17:41527705-41566540,19:232836-236846,17:8567837-9872633,8:28883487-29205723,9:42913008-43066618,17:2286862-2330659
Array.154,Triple Neg,1,1,1,0,0,1,1,1,1,0,0,0,1,1,2,0,0,2,-1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,-1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,-1,0,1,1,0,0,0,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,0,0,-1,0,0
Array.48,HR+,0,0,1,1,0,0,-1,-1,1,0,0,0,0,-1,0,2,0,1,1,0,0,2,0,-1,0,1,-1,-1,1,1,1,0,0,0,0,-1,0,0,-1,2,1,0,0,-1,0,0,1,-1,1,1,1,-1,1,-1,0,-1,-1,0,0,1,0,0,0,-1,-1,-1,0,1,-1,1,2,1,1,-1,0,1,0,-1,-1,1,0,0,-1,-1,1,0,0,0,0,-1,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1
Array.39,HR+,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,1,1,0,-1,1,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0
Array.112,Triple Neg,0,1,-1,-1,0,1,-1,0,-1,0,0,-1,0,-1,1,0,0,1,-1,1,-1,0,0,0,1,0,-1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,-1,-1,1,0,0,-1,1,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,-1,-1,0,0,1,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1
Array.79,HER2+,0,0,0,2,0,-1,0,-1,0,0,-1,0,-1,-1,2,-1,-1,1,-1,1,0,0,-1,-1,0,1,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,-1,0,1,-1,-1,-1,-1,0,1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,1,-1,-1,0,-1,1,-1,0,-1,1,1,1,1,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1
Array.19,HER2+,0,0,0,2,1,0,0,0,0,-1,0,-1,0,0,1,-1,0,1,0,-1,0,0,-1,0,0,1,0,-1,0,-1,-1,0,0,-1,0,-1,1,0,0,-1,0,-1,0,1,1,0,1,0,0,1,0,0,0,0,1,-1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,1,1,-1,-1,-1,0,-1,-1,0,1
Array.27,HR+,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,0,-1,0,-1,0,1,0,1,0,0,1,0,1,-1,-1,0,0,0,1,0,0,0,0,0
Array.69,Triple Neg,-1,0,0,1,-1,0,0,0,0,-1,-1,-1,-1,0,0,2,2,1,-1,-1,-1,0,1,0,-1,1,0,-1,0,1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,0,-1,0,1,1,0,1,1,1,0,-1,1,2,-1,-1,-1,-1,1,-1,0,0,0,0,-1,-1,-1,-1,1,0,1,-1,1,0,0,-1,-1,-1,0,1,-1,0,-1,1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1
Array.73,HER2+,0,0,0,2,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,-1
Array.95,HR+,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,1,0,-1,0,0,1,0,0,1,0,1,1,0,0,0,-1,0,0,0,0,1,1,-1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,-1,1,1,0,-1,1,0,0,1,0
Array.98,HR+,1,0,1,0,1,0,-1,-1,1,0,-1,1,1,-1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,1,0,0,1,1,0,0,0,0,-1,0,2,1,0,1,0,-1,0,0,1,0,0,1,0,-1,1,1,-1,1,-1,1,-1,0,1,0,0,1,1,0,1,1,-1,0,-1,0,0,1,1,1,-1,1,0,1,1,1,-1,0,1,2,1,1,-1,0,0,0,0,-1,1,1,0,0,1,0,1,1,0
Array.138,HER2+,1,0,1,2,1,0,0,0,1,-1,0,-1,-1,0,0,1,0,1,-1,1,0,0,1,0,1,1,0,0,0,0,1,-1,0,-1,0,-1,0,0,0,-1,1,-1,-1,-1,0,2,1,-1,0,1,-1,0,1,1,0,-1,1,-1,-1,-1,0,0,-1,0,0,0,1,-1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,-1,0,0,1,-1,1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1
Array.101,HR+,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,2,1,0,1,0,1,1,1,0,2,0,1,0,1,1,1,-1,0,0,0,0,1,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,0,0,1,0,1,1,1,2,0,1,2,1,1,0,2,1,0,1,1,1,1,0,2,1,0,0,1,0,0,-1,0,0,1,0
Array.90,Triple Neg,0,0,-1,-1,2,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,1,0,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,2,-1,-1,1,0,-1,-1,1,0,-1,0,-1,0,0,1,0,0,0,0,0,1,-1,0,-1,0,1,-1,0,0,-1,0,-1,0,1,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,1,-1
Array.85,HR+,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,-1,0,0,2,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1
Array.114,Triple Neg,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,-1,1,-1,0,1,-1,-1,0,-1,0,0,0,-1,0,-1,0,1,1,-1,-1,0,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,1,0,-1,0,-1,-1,-1,1,0,-1,-1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
Array.56,HR+,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,0,-1,0,2,-1,2,-1,1,0,0,0,-1,0,1,1,1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,1,-1,0,1,1,-1,0,-1,-1,1,-1,-1,-1,1,1,-1,0,1,-1,0,0,-1,-1,0,0,1,-1,1,0,0,-1,-1,-1,0,0,0,-1,0,1,2,1,0,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Array.5,Triple Neg,-1,0,-1,-1,1,0,-1,1,0,-1,1,-1,0,0,-1,-1,0,1,0,-1,-1,-1,0,1,1,-1,1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,0,1,1,-1,0,0,-1,-1,0,1,1,0,0,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1
Array.8,HR+,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,-1,0,-1,0,0,-1,2,-1,0,0,0,0,0,1,0,0,1,2,0,2,1,0,-1,0,0,0,1,0,0,1,-1,0,-1,0,0,-1,0,0,1,-1,1,2,1,0,0,1,1,0,0,-1,-1,1,-1,1,0,0,-1,1,-1,1,0,0,-1,-1,0,-1,-1,-1,0,0
Array.113,Triple Neg,-1,-1,0,0,-1,0,1,-1,0,-1,0,0,-1,-1,0,-1,0,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,1,-1,-1,0,1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1
Array.148,HER2+,-1,0,0,2,0,-1,0,0,0,-1,0,0,1,0,0,-1,0,0,1,-1,0,0,1,0,0,0,1,-1,0,-1,0,1,0,-1,-1,-1,0,-1,1,1,0,-1,0,0,0,1,0,1,0,0,1,0,1,0,0,-1,0,1,0,1,1,0,-1,1,-1,1,-1,1,0,-1,0,0,0,-1,2,0,0,1,-1,2,1,-1,-1,1,1,1,0,0,0,0,-1,0,-1,0,1,-1,-1,-1,-1,-1,1,0,1
Array.25,Triple Neg,-1,1,-1,1,0,0,0,0,-1,-1,0,-1,1,0,-1,-1,0,1,0,1,-1,0,0,0,0,0,1,-1,0,1,-1,1,0,-1,-1,0,-1,-1,0,0,-1,-1,1,-1,0,-1,1,0,0,1,1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,1,-1,0,0,1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,1,2,-1,1,-1,-1,-1
Array.141,HR+,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,1,-1,0,1,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0
Array.43,HR+,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,-1,1,0,-1,0,0,0,0,-1,-1,0,2,0,0,0,0,0,0,0,1,-1,0,0,2,0,0,0,-1,0,0,0,-1,0,0,0,0,2,0,-1,2,-1,0,-1,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,2,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0
Array.159,Triple Neg,-1,0,-1,-1,0,0,-1,1,-1,-1,0,-1,1,1,1,-1,0,1,0,1,-1,1,0,1,0,0,-1,-1,0,-1,-1,1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,1,-1,0,1,2,1,0,0,0,-1,0,1,-1,2,-1,0,-1,-1,0,0,0,1,0,1,1,1,0,-1,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,2,0,-1,0,1,-1,0,-1,-1,0,-1,1,-1
Array.88,Triple Neg,1,1,1,1,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,-1,-1,0,2,0,-1,-1,-1,0,1,-1,0,-1,0,0,-1,-1,1,0,0,0,1,0,0,1,1,0,0,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,1,-1,0,-1,1,0,1,-1,-1,-1,0,-1,0,-1,-1,-1,1,-1,1,0,-1,-1,0,-1,0,0,-1,-1,0
Array.125,HER2+,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,1,1,0,0,1,0,0,1,0,0,1,-1,0,1,-1,0,1,2,0,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,-1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,-1,1,1,-1,-1,1,1,1,0,-1,1,-1,1,1,-1,1,0,1,0,-1,0,0,0,1,0
Array.23,HR+,1,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,2,0,-1,0,0,-1,0,1,-1,1,1,1,0,2,1,0,0,0,1,-1,1,0,1,0,-1,0,0,0,1,-1,1,0,1,0,1,1,1,-1,1,-1,1,0,-1,0,0,1,0,1,-1,-1,-1,1,0,-1,0,1,0,-1,1,1,-1,2,1,-1
Array.68,HER2+,0,0,0,2,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,-1,1,0,-1,0,0,0,-1,0,-1,1,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,2,0
Array.94,HR+,2,0,1,0,0,0,-1,0,1,1,0,0,0,0,1,0,0,1,0,2,0,1,-1,0,0,1,0,0,1,0,1,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,1,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,0,1,-1,0,-1,2,0,0,-1,0,0,1,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0
Array.153,Triple Neg,-1,1,-1,-1,1,-1,-1,0,-1,0,0,-1,0,0,1,-1,0,1,0,2,-1,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,1,-1,0,1,1,0,-1,0,-1,-1,-1,1,-1,1,0,1,-1,-1,0,-1,1,0,0,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,-1,0,0
Array.51,HER2+,1,1,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,1,1,1,1,0,2,1,0,0,1,0,0,1,0,1,1,-1,1,0,1,0,1,1,1,0,1,1,1,1,-1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,2,1,1,1,1,0,1,0,1,1,0,0,1,1,1,-1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,-1,1,0
Array.142,HR+,1,0,1,1,0,0,0,-1,1,0,1,1,1,-1,1,0,1,1,1,-1,0,0,0,-1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,-1,0,1,1,-1,0,1,1,0,1,1,0,1,1,-1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,-1,1,1,1,-1,0,1,-1,1,1,0,0,1,0,-1,1,1,0,-1,0,0,-1,0,1,-1
Array.144,HER2+,0,-1,0,2,1,-1,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,-1,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,-1,0,1,0,0,-1,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,1,-1
Array.78,HER2+,-1,0,0,2,1,0,0,-1,0,0,0,-1,0,-1,0,-1,0,1,0,-1,0,-1,-1,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,1,1,-1,-1,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,-1,0,0,0,0,0,1,0,-1,-1,-1,0,1,0,-1,0,-1,1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0
Array.18,HER2+,0,0,-1,2,0,-1,0,0,1,-1,0,-1,-1,0,1,-1,0,1,-1,1,0,0,-1,0,0,1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,2,1,0,0,1,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,-1,1,1,1,-1,-1,-1,0,0,-1,0,-1,1,0,1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1
Array.75,HER2+,-1,0,0,2,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,0,1,-1,1,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,1,-1,-1,1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,0,-1,1,0,-1,0,1,0,1,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
