Sample,Subgroup,3:18712267-19922255,11:54836429-55118214,16:82128902-83298645,17:35076296-35282086,5:802518-826044,16:68710277-68751390,12:63340667-63566937,11:69744088-69954921,1:16954838-16997273,3:75914406-75957900,6:32766023-32821094,1:145820605-146012014,6:611289-618999,20:194755-763411,12:31173065-31257959,16:72933295-73012768,1:16126501-16531740,23:108169857-122414714,11:57986437-58424388,22:22742616-23009582,14:21518235-22000194,6:40747924-42826227,5:763494-786455,1:38432360-38569674,9:43094089-43410478,1:199087690-199111062,14:19350230-19397709,16:30561643-31835555,1:142570866-142598507,17:41577520-41644979,16:69391442-69397102,22:37683612-37705310,23:151067607-152416606,6:146738-154410,1:2870100-2880675,3:75546791-75799957,17:51336095-51733282,1:141474904-141491470,18:4316-75432,14:52064745-52660995,17:7522884-8559106,8:97639200-98703368,15:53166-592121,4:106972190-110834066,18:42452207-44456688,11:74773664-74787471,9:43474997-43808233,14:106216726-106349756,17:42161364-42296514,6:1361599-1435871,16:13422219-14817706,11:69968689-69976020,11:68740184-68819585,2:34904779-39267014,23:384298-385792,1:149369522-149394958,3:127015333-127130406,23:3229-45135,1:193480150-193527058,14:19505698-19515781,6:55859081-57298746,23:152422390-152548587,10:21859872-21874211,19:232836-236846,5:180342860-180362342,17:40859120-40926154,16:29586070-30555422,6:204528-238441,14:18149473-18537177,8:42123757-42175380,2:131792734-131931782,7:23318666-25286039,3:24543616-25463517,3:4109224-4214897,22:41221190-41290227,8:39870841-39957091,18:36996895-42435594,6:252939-284743,9:42913008-43066618,10:21880427-21920526,17:35991941-36074566,8:5952862-6907624,8:28568337-28877291
Array.86,HR+,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0,0,1,-1,0,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,-1,0,0,0,0,-1,-1,0,0,1,0,-1,-1,-1
Array.112,Triple Neg,-1,0,0,-1,1,-1,0,0,1,0,1,0,0,0,0,0,0,2,0,-1,0,1,1,-1,0,0,-1,0,0,-1,0,-1,2,0,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,0,-1,-1,0,0,0,1,0,-1,0,1,0,0,0,2,0,-1,0,-1,0,0,0,0,0,1,-1,-1,1,0,-1,0,0,0,-1,1,0
Array.79,HER2+,0,0,-1,2,2,-1,0,0,0,-1,0,-1,0,0,1,-1,0,1,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,2,0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,1,0,-1,1,0,0,1,0,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,-1
Array.19,HER2+,0,0,0,2,1,1,2,0,0,0,0,1,0,0,-1,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,2,-1,-1,-1
Array.106,HER2+,1,0,-1,2,1,-1,1,0,0,1,1,1,1,1,1,-1,-1,1,0,0,1,1,1,-1,0,1,0,1,1,-1,-1,0,2,0,1,1,0,1,-1,0,-1,2,1,0,-1,0,0,0,-1,0,1,0,0,0,1,0,1,1,1,0,1,2,1,2,1,-1,1,0,0,-1,0,1,1,1,0,-1,-1,0,0,1,2,-1,-1
Array.110,HER2+,0,0,-1,2,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,0,1,-1,0,-1,2,0,1,0,0,1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,1,1,0,0,2,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1
Array.69,Triple Neg,0,0,-1,1,0,-1,0,0,-1,0,-1,1,-1,-1,-1,-1,-1,1,0,0,0,-1,0,1,-1,1,-1,1,1,1,1,0,1,-1,-1,0,1,1,-1,-1,-1,0,0,0,-1,0,-1,0,1,-1,1,0,0,0,1,2,0,1,1,-1,-1,1,0,0,-1,1,1,1,-1,-1,0,0,0,0,-1,-1,-1,1,-1,0,1,-1,-1
Array.95,HR+,0,1,0,0,0,-1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,-1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,-1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0
Array.17,HER2+,0,0,-1,2,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,1,0,-1,-1,1,-1,0,0,0,1,0,0,0,-1,0,-1,0,-1,1,0,0,-1,0,0,1,-1,0,1,0,0,0,-1,1,0,0,0,-1,0,1,0,0,0,0,1,1,0,1,0,1,-1,0,0,1,-1,1,0,0,0,0,0
Array.33,HR+,0,0,0,-1,1,-1,2,1,0,0,0,0,0,-1,0,0,0,1,-1,-1,1,0,1,-1,0,1,0,1,1,-1,0,-1,1,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,1,-1,0,1,1,1,1,0,1,1,0,-1,0,0,2,0,-1,0,1,1,0,0,-1,0,1,0,0,-1,-1,0,0,0,0,-1,-1,-1
Array.138,HER2+,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,-1,-1,2,0,0,0,1,0,2,0,1,-1,1,1,-1,0,0,1,1,1,0,-1,1,-1,0,-1,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,-1,1,0,1,0,-1,-1
Array.149,HR+,0,-1,-1,1,1,-1,1,2,0,0,-1,0,0,0,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,0,1,0,-1,-1,1,0,1,0,1,2,0,-1,-1,2,0,0,0,0,1,0,1,-1,0,2,2,-1,0,-1,0,0,1,0,0,1,0,0,-1,1,0,0,0,2,0,0,0,0,-1,1,0,0,1,0,1,-1,-1
Array.101,HR+,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,2,0,1,0,1,1,1,1,1,-1,0,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,1,2,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,1,2,1,1,0,0,0,1,1,1,0,0,0
Array.90,Triple Neg,0,0,0,-1,-1,0,0,0,-1,0,1,1,-1,0,-1,0,-1,2,0,-1,1,0,-1,-1,0,1,0,0,1,-1,0,-1,2,0,2,0,0,1,-1,0,-1,1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,1,1,0,0,2,0,-1,0,1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,1,0,-1,-1,-1
Array.99,Triple Neg,-1,0,1,0,-1,0,0,0,0,-1,0,1,0,-1,0,0,1,2,0,-1,0,0,-1,0,0,0,-1,1,1,-1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,1,0,0,2,0,-1,1,0,1,1,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0
Array.57,Triple Neg,1,0,0,0,-1,-1,0,0,-1,0,1,1,1,0,0,0,-1,1,0,0,0,1,0,2,0,1,-1,0,1,-1,0,-1,1,1,2,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,0,1,1,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,0,-1,0,0,0,0,0
Array.105,HER2+,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,-1,2,0,0,1,0,0,0,1,0,-1,0,0,-1,0,-1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,1,1,1,-1,-1
Array.85,HR+,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,-1,1,0,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,1,0,0,-1,-1,1,0,0,0,0,1,1,0,0,0,-1,0,1,0,-1,0,-1,0,0,-1,2,0,0,0,0,0,2,1,0,0,0,-1,-1,-1
Array.56,HR+,0,0,-1,-1,0,-1,0,0,-1,-1,0,1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,0,-1,-1,1,0,-1,-1,-1,1,0,1,-1,1,0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,1,0,0,-1,0,-1,0,0,1,0,0,1,0,-1,0,-1,1,0,0,0,-1,0,0,1,-1,0,-1,0,0,0,-1,-1,-1
Array.8,HR+,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,1,1,0,-1,0,-1,1,0,1,0,1,0,0,1,-1,2,0,1,0,-1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,1,1,1,2,1,0,0,0,0,-1,0,1,0,0,0,-1,-1
Array.113,Triple Neg,0,1,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,-1,2,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,2,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,0,-1,0,1,1,-1,1,1,0,1,-1,-1,-1,2,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1
Array.148,HER2+,1,1,0,2,0,0,0,1,-1,-1,-1,-1,1,-1,1,0,-1,1,1,0,1,0,0,1,0,0,-1,1,0,-1,0,-1,1,1,0,0,-1,0,1,1,-1,1,0,-1,1,0,0,0,-1,0,-1,1,1,0,0,0,-1,1,0,1,0,1,0,-1,0,-1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,-1,-1,1
Array.42,HER2+,0,1,1,2,1,1,0,0,1,-1,0,0,0,1,1,1,0,2,0,-1,1,0,1,-1,0,0,0,0,0,-1,1,-1,2,0,1,0,0,0,1,1,-1,2,0,0,0,-1,0,0,-1,0,1,0,0,0,1,1,0,1,1,1,0,2,1,-1,0,-1,0,0,0,1,0,-1,0,0,-1,-1,0,0,0,1,-1,-1,-1
Array.25,Triple Neg,-1,0,0,1,-1,-1,-1,0,-1,-1,0,1,-1,-1,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,-1,0,0,1,1,-1,0,1,0,0,-1,0,1,0,-1,1,1,-1,-1,0,0,-1,-1,0,0,0,0,0,1,-1,0,0,-1,0,0,-1,1,0,-1,-1,1,0,0,0,0,0,0,-1,1,0,-1,0,0,-1,0,1,-1,-1
Array.102,Triple Neg,-1,0,0,0,0,-1,0,0,-1,0,1,0,-1,-1,0,-1,-1,1,0,0,1,1,0,0,0,1,-1,0,1,-1,0,-1,1,-1,2,0,0,1,-1,-1,-1,2,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,1,1,1,0,-1,1,0,0,-1,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,0
Array.55,HER2+,-1,1,0,2,1,0,0,1,0,-1,-1,0,0,1,0,0,0,1,1,0,0,-1,1,1,0,-1,0,0,0,-1,0,-1,1,0,1,0,1,0,-1,-1,-1,2,0,0,-1,1,0,0,1,0,0,1,1,1,1,-1,0,1,-1,-1,-1,1,1,-1,0,-1,0,0,0,-1,0,1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1
Array.141,HR+,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,-1,0,0,0,1,1,-1,0,1,-1,-1,-1,1,0,1,0,0,1,-1,2,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0
Array.43,HR+,0,0,-1,0,1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,1,0,0,1,-1,0,0,0,0,0,1,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,-1,1,0,0,0,0,-1,0,-1,-1,0,-1,1,0,-1,0,0,1,-1,0,2,0,0,0,0,0,2,0,0,0,0,0,-1,-1
Array.159,Triple Neg,-1,0,0,-1,1,0,-1,0,0,0,0,1,-1,-1,0,0,-1,1,0,1,1,0,1,1,1,0,0,0,1,-1,0,0,1,-1,0,0,2,0,1,0,-1,2,0,-1,0,1,0,0,1,-1,0,0,0,0,-1,-1,1,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,-1,0,-1
Array.52,HR+,0,1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,1,0,-1,1,1,1,1,-1,-1,-1,1,-1,1,0,1,0,-1,1,-1,1,0,0,0,-1,-1,-1,-1,0,0,1,-1,0,0,0,0,1,1,1,0,1,0,-1,0,0,1,-1,1,1,1,0,0,0,0,1,0,-1,-1,0,-1,-1,-1
Array.125,HER2+,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,0,0,1,0,-1,1,0,0,0,0,1,1,1,1,1,1,0,2,0,1,0,1,-1,0,0,1,-1,1,1,-1,1,-1,2,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,2,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0
Array.23,HR+,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,-1,1,1,1,0,0,1,0,1,0,1,1,1,1,-1,1,0,-1,1,0,0,0,1,0,1,1,0,0,0,2,0,0,1,1,0,1,-1,1,-1,1,1,1,-1,2,0,1,0,0,0,-1,1,1,1,-1,-1,-1,2
Array.68,HER2+,0,0,-1,2,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,-1,2,0,-1,0,-1,-1,-1,0,1,0,0,0,0,-1,0,0,-1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,2,0,0,-1,-1
Array.153,Triple Neg,-1,1,0,-1,1,-1,-1,0,0,-1,1,1,0,-1,1,-1,-1,0,-1,0,1,1,1,1,0,0,0,1,1,-1,-1,0,0,0,1,-1,1,1,1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,-1,-1,1,0,0,-1,0,-1,-1,-1,0,-1,0,0,0,1,-1,-1,-1
Array.144,HER2+,0,0,0,2,-1,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,0,1,-1,0,0,1,0,1,0,-1,1,0,0,-1,1,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,-1,0,0,1,0,0,1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1
Array.37,HR+,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0,0,1,-1,1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,1,0,0,0,0
Array.82,HR+,0,1,0,0,0,-1,1,1,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,-1,1,1,-1,0,-1,2,0,1,0,1,1,0,1,-1,1,0,0,0,1,0,0,-1,0,1,1,1,1,0,-1,0,-1,1,1,0,2,1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
Array.75,HER2+,-1,-1,0,2,1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,1,-1,-1,0,0,0,1,1,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1
Array.139,HER2+,0,0,-1,2,0,-1,0,0,1,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,-1,0,1,-1,-1,0,1,0,1,0,2,1,-1,0,-1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,2,-1,-1,-1
Array.117,HR+,0,0,-1,0,0,-1,0,0,1,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
Array.60,HR+,0,1,-1,0,1,-1,0,1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,-1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Array.38,Triple Neg,0,0,0,-1,2,0,0,0,1,-1,0,-1,-1,0,0,0,0,1,0,-1,1,0,2,0,0,0,-1,0,0,-1,0,-1,1,-1,0,-1,0,0,0,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,2,0,1,0,0,-1,2,-1,0,0,0,-1,-1,-1
Array.72,HER2+,0,1,0,2,0,0,2,1,0,0,0,-1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-1,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,0,2,0,0,0,0,1,-1,-1
Array.104,Triple Neg,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Array.111,Triple Neg,-1,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,1,1,1,1,1,0,1,1,1,-1,0,1,-1,0,-1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,2,0,0,0,0,1,1,1,1,1,-1,1,1,1,0,1,1,2,0,-1,-1
Array.7,HR+,0,-1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,1,0,1,0,2,1,0,-1,-1,1,0,-1,0,-1,0,1,-1,0,0,1,1,0,0,1,1,0,-1,0,0,1,-1,0,1,0,0,0,-1,1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1
Array.71,Triple Neg,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,1,0,0,-1,2,-1,0,0,1,-1,0,1,1,1,0,1,-1,1,0,0,1,0,-1,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,1,1,1,1,-1,0,1,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1
Array.47,Triple Neg,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,2,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,2,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,-1,0,1,-1,0,0,2,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
Array.64,Triple Neg,0,1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,1,0,0,1,-1,0,0,-1,0,-1,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,-1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,-1
Array.35,HR+,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,-1,0,1,0,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,1,0,0,0,1,0,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
Array.93,Triple Neg,-1,0,0,0,0,-1,0,0,1,-1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,-1,0,-1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,-1,0,1,1,0,1,1,1,-1,0,0,0,1,0,-1,1,1,-1,0,0,-1,1,1,1,1,0,-1,-1
Array.134,HR+,1,0,-1,1,0,-1,1,0,0,1,1,1,1,1,1,-1,-1,1,0,-1,1,1,0,-1,0,1,-1,1,1,0,-1,-1,1,0,1,1,1,0,-1,0,1,1,0,0,-1,0,0,0,1,0,1,0,2,0,0,-1,1,0,1,0,1,1,1,-1,0,1,1,1,0,1,0,0,1,1,-1,1,-1,1,0,1,1,-1,-1
