Sample,Subgroup,1:149369522-149394958,1:239391358-239517083,2:61025070-61061211,3:75845446-75858339,3:75870144-75896020,3:170472437-173237997,3:173247425-173637617,3:196908262-196937230,4:190887518-191025356,6:63057692-64614816,6:64633346-64705894,6:85623360-89090699,6:89106148-90015649,6:90034143-91964331,6:133447975-135173194,6:135520431-136095714,6:136159988-136555576,8:29497110-29571339,8:39356595-39363050,8:100449572-100905868,8:103130143-104962929,8:104974429-105842700,8:105857203-107203129,11:76744346-76847285,11:76858917-77204725,11:78706656-79810606,11:79858760-79974644,11:80023540-80218800,12:63574243-64694907,12:64727853-66012212,12:70462057-70560603,12:74674175-74721164,12:74728500-75387573,12:75396411-75693696,12:97852156-98629015,14:52672118-53311109,14:53327457-53857768,14:105602756-105630089,14:105654998-105693581,15:32447707-32511475,15:32523241-32594902,15:32605086-32654561,15:39590440-39979013,15:39989024-40217541,15:44193179-48393597,15:48406757-51888263,16:29586070-30555422,16:30561643-31835555,16:68710277-68751390,16:72933295-73012768,17:35076296-35282086,17:41011530-41041674,17:41062669-41447005,17:41983407-42049540,17:58829892-59043189,17:77653668-77696106,17:77704506-78562654,18:17278237-18565403,18:18594203-18968555,19:14154925-14202425,19:20422576-20493401,19:40356341-40522716,19:40530071-40556205,19:40562762-41507544,20:194755-763411,20:1499034-1506379,20:1516966-1539155,22:17080555-17294496,22:17343445-17385003,22:22725750-22731544,22:28922568-30224848,22:30243922-31511793,22:31521603-32950474,22:40072147-41213949,22:41293579-41298170
Array.118,Triple Neg,-1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Array.154,Triple Neg,-1,1,1,0,0,1,1,1,0,1,1,0,0,0,2,0,2,-1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Array.39,HR+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,-1,0,0,0,0,0
Array.86,HR+,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.112,Triple Neg,-1,1,1,-1,-1,0,0,1,-1,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,1
Array.79,HER2+,1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1
Array.110,HER2+,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.73,HER2+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Array.95,HR+,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Array.98,HR+,-1,1,0,1,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
Array.17,HER2+,1,-1,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,2,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.33,HR+,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,1,1,-1,-1,1,1,1,1,1,1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.101,HR+,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Array.57,Triple Neg,-1,1,0,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.114,Triple Neg,0,1,0,-1,-1,1,1,1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
Array.113,Triple Neg,1,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Array.148,HER2+,0,0,0,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
Array.25,Triple Neg,0,-1,1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,-1,-1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,1
Array.102,Triple Neg,-1,1,0,0,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,2,2,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0
Array.55,HER2+,-1,-1,1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,0,0,0,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,2,-1,-1,1,0,-1,-1,-1,-1,1,-1,0,0,0,1,1,0,1,1,0,0,-1,-1,-1,-1
Array.141,HR+,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.43,HR+,-1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Array.159,Triple Neg,-1,1,0,0,0,1,1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,2,2,2,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,1,2,-1,-1,1,1,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,1,0,0
Array.52,HR+,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,2,2,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.88,Triple Neg,1,0,1,-1,-1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,1,1,-1,-1,-1,-1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.152,HER2+,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,1,1,1,-1,2,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,1,1,0,0,0,1,1,2,0,1,1,1,1,1,1,1,1,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,2,2,2,1,1,1,0,0,1,1,1,1,1,1
Array.23,HR+,2,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,-1,-1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Array.68,HER2+,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.94,HR+,2,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,-1,0,0,0,0,0,0,0,1
Array.51,HER2+,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Array.142,HR+,2,1,0,1,0,1,1,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
Array.144,HER2+,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,2,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.78,HER2+,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,2,1,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
Array.18,HER2+,2,1,0,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,2,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.82,HR+,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,0,-1,-1,0,0,0,0,1,1,-1,0,0,-1,-1,-1,1,1,1,0,0,0,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Array.75,HER2+,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,-1,-1,2,-1,-1,1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
Array.2,HR+,-1,0,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,1,1,-1,0,1,0,0,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
Array.38,Triple Neg,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
Array.145,Triple Neg,-1,1,1,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Array.31,Triple Neg,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,2,1,0,0,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Array.111,Triple Neg,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,-1,-1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Array.7,HR+,1,0,0,0,0,1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,2,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1
Array.64,Triple Neg,1,1,0,-1,-1,0,0,1,-1,0,0,1,1,1,1,1,1,-1,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,0
Array.89,HR+,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Array.30,Triple Neg,-1,1,1,0,0,1,1,1,-1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,0,0,1,1,1,0,0,-1,0,0,0,1,1,1,1,1
Array.35,HR+,-1,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.93,Triple Neg,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,2,1,1,1,1,2,2,2,0,0,0,-1,-1,1,1,1,1,0,0
Array.10,HER2+,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,0,-1,-1,2,0,0,-1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Array.123,HR+,2,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,1,2,2,2,2,0,0,0,0,0,1,2,2,2,2,2,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
Array.100,HR+,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.134,HR+,-1,1,0,1,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
Array.130,HER2+,2,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,-1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
