Sample,Subgroup,1:38432360-38569674,1:52445317-53651141,1:53661750-55331098,1:149369522-149394958,1:199087690-199111062,3:196908262-196937230,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,6:22060377-24236375,6:24244934-26055528,6:40747924-42826227,6:69820589-70731852,6:70738275-72163725,6:89106148-90015649,6:111038086-111980766,8:29497110-29571339,8:35875555-36133992,8:36426253-36481039,8:36512939-36612488,8:36627162-36673994,8:42123757-42175380,8:145962567-146264846,10:18433402-19850716,11:66160840-66454365,11:78005966-78127149,11:78137964-78627898,12:9528590-9585156,12:64727853-66012212,12:74728500-75387573,12:75396411-75693696,12:84542006-85443011,12:85450052-85962613,12:85986743-87258350,15:32605086-32654561,15:39578565-39587716,15:39590440-39979013,15:39989024-40217541,15:41676219-44156737,15:44193179-48393597,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,16:69763173-70593293,17:25816140-25841839,17:35076296-35282086,17:42161364-42296514,17:42301553-42639030,17:42648686-42873571,17:43389085-43525899,17:77653668-77696106,17:77704506-78562654,20:1516966-1539155,22:17298569-17337860,22:22725750-22731544,22:28922568-30224848,22:30243922-31511793,22:41221190-41290227,22:41293579-41298170,23:3229-45135,23:83340047-88078465
Array.6,HER2+,0,0,0,-1,-1,0,0,0,0,1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1
Array.39,HR+,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,1
Array.112,Triple Neg,-1,-1,-1,-1,0,1,-1,-1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,0,0,1,1,1,2
Array.79,HER2+,0,0,0,1,1,0,1,1,1,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,1
Array.124,HR+,1,0,0,-1,0,1,1,1,1,0,0,-1,0,0,0,0,-1,2,2,2,2,2,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,2
Array.19,HER2+,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,-1,1,1,2,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,-1,2,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,1
Array.27,HR+,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1
Array.69,Triple Neg,1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-1,-1,1,1
Array.73,HER2+,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Array.95,HR+,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Array.98,HR+,0,0,0,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,-1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1
Array.33,HR+,-1,-1,-1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,1,0,0,0,2,0,0,0,0,0,-1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1
Array.138,HER2+,2,1,1,2,1,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1
Array.101,HR+,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Array.90,Triple Neg,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,1,2
Array.57,Triple Neg,2,2,2,-1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.105,HER2+,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Array.85,HR+,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,1
Array.114,Triple Neg,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,1
Array.56,HR+,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,0,1
Array.5,Triple Neg,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,1,-1,0,0,1,1,0,0,1,1
Array.141,HR+,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.43,HR+,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1
Array.159,Triple Neg,1,0,0,-1,0,-1,-1,-1,-1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1,1,1,1,-1,-1,-1,0,1,1,1,0,0,0,1
Array.88,Triple Neg,0,0,0,1,-1,0,-1,-1,-1,1,1,0,-1,-1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,1,1,1,1,1,-1,-1,1,0,0,0,0,0,0,1,2
Array.125,HER2+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.50,Triple Neg,0,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,2
Array.23,HR+,0,0,0,2,1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,2,0,0,0,1,2,1,-1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,-1,-1,1,0,0,0,0,0,0,0,1
Array.68,HER2+,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Array.153,Triple Neg,1,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,0,0,0,0,2
Array.51,HER2+,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,-1,0,0,0,0,-1,2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Array.37,HR+,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1
Array.78,HER2+,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,0,1
Array.75,HER2+,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,0,0,1,-1,0,1,1,1,1,0,-1,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1
Array.139,HER2+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,1
Array.2,HR+,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,1,0,0,-1,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
Array.117,HR+,0,0,0,2,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.60,HR+,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.38,Triple Neg,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,2,1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,1
Array.72,HER2+,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,1,1,1,-1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Array.104,Triple Neg,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.137,HR+,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1
Array.145,Triple Neg,1,1,-1,-1,1,1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1
Array.31,Triple Neg,1,1,1,0,-1,1,0,0,0,1,1,1,1,1,1,2,0,2,2,2,2,2,0,0,1,2,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
Array.135,Triple Neg,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Array.21,HER2+,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1
Array.59,HR+,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,2,2,2,2,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0
Array.71,Triple Neg,0,1,1,1,1,1,-1,-1,-1,0,0,2,0,1,-1,2,-1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Array.107,Triple Neg,0,0,0,2,0,1,-1,-1,-1,1,1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,1
Array.30,Triple Neg,0,0,0,-1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,-1,0,0,1,1,1,1,1,1
Array.93,Triple Neg,1,1,1,-1,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,1,1
Array.10,HER2+,-1,-1,-1,1,1,0,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,1,1
Array.100,HR+,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Array.134,HR+,-1,-1,-1,-1,1,1,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0,1,1,1,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1
