Sample,Subgroup,1:17030134-17037487,1:149369522-149394958,1:199087690-199111062,3:163997236-164023510,3:170472437-173237997,3:173247425-173637617,3:196947293-196962380,4:162205286-162321148,4:186950719-188875290,4:188886189-190844427,5:150224239-152555267,5:152572508-153979903,5:154006451-157875296,5:157900279-159729154,6:18550170-19001738,6:32634044-32660090,6:32718991-32728487,6:64633346-64705894,6:64750730-65951879,6:66247043-66553014,8:35875555-36133992,8:36426253-36481039,8:36512939-36612488,8:37317937-37617735,8:42123757-42175380,8:47575650-47718854,8:47740011-48934830,9:153131-194193,9:42913008-43066618,11:78137964-78627898,11:80023540-80218800,11:80263397-80790766,11:83733321-85064586,12:75396411-75693696,12:75706042-77012738,14:19154992-19216369,14:105602756-105630089,15:18722595-18790589,15:18835660-18884436,15:32523241-32594902,15:32605086-32654561,16:30561643-31835555,16:67314736-68371045,16:68710277-68751390,16:69391442-69397102,16:69763173-70593293,17:403833-443042,17:35076296-35282086,17:38035466-38070950,17:38077519-38710043,17:39139634-39275931,17:39280577-40847517,17:41983407-42049540,17:67849232-68295347,18:42452207-44456688,20:194755-763411,20:771302-1487457,20:1578087-3037884,20:3049358-5225253,20:35800429-36053431,22:41221190-41290227,22:41293579-41298170,23:3229-45135,23:66527817-67559319,23:108169857-122414714,23:122417938-131366673,23:153466463-153491568
Array.86,HR+,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1
Array.124,HR+,0,-1,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,2,2,2,0,2,1,1,-1,1,0,1,-1,-1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,-1,1,1,1,1,1,0,0,1,2,2,2,1
Array.19,HER2+,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,2,1,0,-1,0,0,0,0,0,1,1,1,1,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1
Array.27,HR+,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1
Array.110,HER2+,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0,0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,2
Array.69,Triple Neg,-1,2,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1,2,-1,1,1,0,1,1,1,1,1,1,1,-1,-1,0,0,0,0,-1,-1,1,1,1,1,1
Array.138,HER2+,-1,2,1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,-1,1,1,1,-1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,1,2,2,1
Array.101,HR+,1,0,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1
Array.90,Triple Neg,-1,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,2,2,2,2
Array.99,Triple Neg,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,2,2,2
Array.57,Triple Neg,-1,-1,1,-1,1,1,1,-1,-1,-1,0,0,0,0,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Array.105,HER2+,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1
Array.85,HR+,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
Array.114,Triple Neg,-1,0,1,-1,1,1,1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,2,2,2
Array.56,HR+,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,-1,0,1,0,0,0,-1,-1,0,1,1,1,1
Array.5,Triple Neg,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,0,0,1,1,1,1,1
Array.8,HR+,0,1,1,-1,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,2,2,2,2,-1,0,-1,-1,-1,-1,1,1,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,1
Array.113,Triple Neg,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2
Array.102,Triple Neg,-1,-1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,1,1,1,1,1
Array.43,HR+,0,-1,0,-1,0,0,0,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1
Array.125,HER2+,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Array.152,HER2+,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,-1,-1,-1,2,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1
Array.51,HER2+,0,0,1,-1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,-1,2,2,-1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
Array.37,HR+,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1
Array.78,HER2+,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,-1,-1,0,1,1,1,1
Array.18,HER2+,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,1,0,-1,0,0,0,0,-1,1,0,0,0,0,-1,2,-1,-1,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,1,1,1,1
Array.82,HR+,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,1,0,0,1,-1,-1,0,1,1,0,-1,1,1,-1,-1,1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,1,0,1,2,2,2,1,0,0,-1,2,2,2,2
Array.139,HER2+,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,2,-1,-1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,1,1,1,1
Array.2,HR+,0,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,1,0,0,-1,-1,-1,1,0,1,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1
Array.117,HR+,0,2,-1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Array.60,HR+,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Array.72,HER2+,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,0,0,1,1,1,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
Array.137,HR+,1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1
Array.145,Triple Neg,-1,-1,1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,0,0,1,-1,-1,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1
Array.135,Triple Neg,0,1,1,-1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2
Array.111,Triple Neg,0,0,1,0,1,1,1,0,-1,-1,0,0,0,0,1,1,2,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Array.7,HR+,0,1,0,1,1,1,0,0,-1,-1,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,1,1,1
Array.21,HER2+,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,2,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,-1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,2,2
Array.53,HER2+,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,2,2,2
Array.59,HR+,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,0,1,1,1,-1,0,-1,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0
Array.71,Triple Neg,0,1,1,1,1,1,1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,1,0,0,0,0,0,1,1,-1,0,2,1,1,1,0,0,-1,-1,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,1,2,1,1,1
Array.47,Triple Neg,0,-1,0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,1,1,1,1,2,2,2
Array.107,Triple Neg,0,2,0,-1,0,0,1,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,-1,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1
Array.64,Triple Neg,0,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,0,0,0,0,2,1,1,2
Array.89,HR+,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Array.35,HR+,0,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,1
Array.93,Triple Neg,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
Array.10,HER2+,0,1,1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,1,1,1,1,1
Array.123,HR+,-1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,2,2,0,-1,0,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,1,1,1,1
Array.100,HR+,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Array.130,HER2+,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,1,1,1,1,1
